课程号_统一,KCCCDM(课程层次),KCFLDM(课程分类),JXFSDM(教学方式),SKYZDM(授课语种),KCZTDM(课程状态),KCM(课程名),YWKCM(英文课程名),JXMD(教学目的),XS(学时),XF(学分),KNZXS(课内周学时),KTJSXS(课堂讲授学时),SYXS(实验学时),SJIXS(设计学时),SJXS(上机学时),TLXS(讨论学时),QTXS1(其他学时1),QTXS2(其他学时2),QTXS3(其他学时3),JZSJZ(集中实践周),KCSJXS(课程实践学时),KSLXDM(考试类型),ZWJC(中文教材),ZWCKS(中文参考书),WWJC(外文教材),WWCKS(外文参考书),SYYX(适用院系或专业),KCSM(课程说明),ZWNRJJ(中文内容简介),YWNRJJ(英文内容简介),KSRQ(开始日期),YBZS(预备知识),CZSJ(操作时间),BZ(备注),TKYY(停开原因),HFYY(恢复原因),XGXKLBDM(校公选课类别),XXKDM(先修课代码),XXKMC(先修课名称),KSXQ(开课学期),SFXGXK(是否校公选课),KCSJZXS(课程实践周学时),XFLBDM(学分类别代码),KCFL1(课程分类),SFSYSK(是否双语授课),SFQYWSK(是否全英文授课),CJKHFS(成绩考核方式),KCMB(课程目标),XXKSFQY(先修课是否启用),XXKBXTG(先修课必须通过)
ME5049,1.0,005,2.0,,1.0,无线传感网络功能节点设计综合实验,Synthesis Experimental Design of Wireless Sensor Network Nodes,,16.0,1.0,2,0.0,32.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,16+0周,,,,,,开课学期为5-7,,,,,,1.0,0.0,,,,,,,,,
CE203008,,023,33.0,zw,1.0,离散数学,Discrete Mathematics,,48.0,3.0,2,40.0,,,,,,,8.0,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CE203006,,023,15.0,zw,1.0,计算机组成原理,Principle of Computer Organization,,32.0,2.0,2,20.0,8.0,,,,,,8.0,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CE203005,,023,33.0,zw,1.0,操作系统,Operating System,,48.0,3.0,2,40.0,,,,,,,8.0,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CE203007,,023,15.0,zw,1.0,数据库原理,Database Principle,,32.0,2.0,2,20.0,8.0,,,,,,8.0,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
CE203004,,023,33.0,zw,1.0,微机原理与系统设计,Microcomputer Principle and System Design,,32.0,2.0,2,24.0,,,,,,,8.0,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
IB006001-14,,023,1.0,zw,1.0,电路分析基础,Fundamentals of Circuit Analysis,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
IB006006-14,,023,33.0,zw,1.0,数字电路与逻辑设计,Digital Circuits and Logic Design,,48.0,3.0,2,40.0,,,,,,,8.0,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
IB006002-14,,023,1.0,zw,1.0,信号与系统,Signals and Systems,,48.0,3.0,2,48.0,,,,,,,,,,1.0,,,,,,,,,,,2019-05-17 10:19:53,课程导入,,,,,,,0.0,,,,0.0,0.0,,,,
TS196016,,019,1.0,,1.0,生产工程技术,Production Engineering,,16.0,1.0,2,16.0,,,,,,,,,,2.0,,,,,,,,,,,2019-05-31 11:16:37,2019国际双创周第三方公司引课,,,9.0,,,,1.0,,,,,,,,,
