WID(wid),XSBH(学生编号),TJNY(统计年月),SWLJSC(上网累计时长),XXPJZ(学校平均值),XN(学年),XQ(学期),TBRQ(同步日期),TBLX(同步类型),CZRQ(操作日期),CZZ(操作者),CZZXM(操作者姓名)
F5EEFB38AC200AAEE053C97975CAB6EE,pjxyqxbl815,2023-03-01,445.86,,,,,,,,同学|老师
F5EEFB3BD5F60AAEE053C97975CAB6EE,pjxyqxbj681,2023-03-01,903.75,,,,,,,,同学|老师
F5EEFB3999440AAEE053C97975CAB6EE,pjxyqxbl793,2023-03-01,867.82,,,,,,,,同学|老师
F5EEFB3A76980AAEE053C97975CAB6EE,pjxyqxbj740,2023-03-01,403.31,,,,,,,,同学|老师
F5EEFB38AC980AAEE053C97975CAB6EE,pjxwxxbj907,2023-03-01,473.98,,,,,,,,同学|老师
F5EEFB3AE3D40AAEE053C97975CAB6EE,pjxyqxbj653,2023-03-01,834.59,,,,,,,,同学|老师
F5EEFB3A750D0AAEE053C97975CAB6EE,pjxyqwbj844,2023-03-01,589.54,,,,,,,,同学|老师
ECA0DF04EE756F1AE053C97975CAB1EB,pjxyqxbl993,2022-10-01,452.82,,,,,,,,同学|老师
ECA0DF04EE776F1AE053C97975CAB1EB,pjxyqxbk950,2022-10-01,395.14,,,,,,,,同学|老师
ECA0DF04EE996F1AE053C97975CAB1EB,pjwtqxbj993,2022-10-01,786.25,,,,,,,,同学|老师
ECA0DF04EEAD6F1AE053C97975CAB1EB,pjxyqwbj616,2022-10-01,355.04,,,,,,,,同学|老师
ECA0DF04EEB46F1AE053C97975CAB1EB,pjxyqxbk457,2022-10-01,825.73,,,,,,,,同学|老师
ECA0DF04EEBA6F1AE053C97975CAB1EB,pjxyqwbj631,2022-10-01,886.24,,,,,,,,同学|老师
ECA0DF04EED36F1AE053C97975CAB1EB,pjxyqxbj018,2022-10-01,1013.62,,,,,,,,同学|老师
ECA0DF04EEE86F1AE053C97975CAB1EB,pjxyqxbj395,2022-10-01,906.67,,,,,,,,同学|老师
F5EEFB3A7C6A0AAEE053C97975CAB6EE,pjxpqxbj972,2023-03-01,1139.1,,,,,,,,同学|老师
F5EEFB3B63EF0AAEE053C97975CAB6EE,pjxyqxbk195,2023-03-01,503.45,,,,,,,,同学|老师
F5EEFB3A77A80AAEE053C97975CAB6EE,pjxyqwbj023,2023-03-01,234.41,,,,,,,,同学|老师
F5EEFB3921A20AAEE053C97975CAB6EE,pjxuqwbj610,2023-03-01,719.66,,,,,,,,同学|老师
