XH,XB(学生性别),NJ(年级),YX(院系),ZY(专业),BJ(班级),BH(班号),TCNF(体测年份),ZF(总分),BZ(备注),BMI(身高/体重),FHL(肺活量),WS(50米),LDTY(立定跳远),ZWTQQ(坐位体前屈),BB(800米),YQ(1000米),YWQZ(仰卧起坐),YTXS(引体向上)
pjxsqxbj856,女,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2020.0,76.8,正常,166/53,2293.0,9.01,177.0,18.1,4.0,,47.0,
pjxsqxbj856,女,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2021.0,84.2,正常,166/52,3510.0,8.5,165.0,26.8,4.01,,41.0,
pjxsqxbj856,女,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022.0,77.55,正常,168.5/53,3216.0,8.9,166.0,19.3,4.22,,48.0,
pjxsqxbj856,女,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2023.0,74.4,正常,167/56,3799.0,9.8,155.0,17.8,4.42,,45.0,
pjxyqxbl905,男,2020级,通信工程学院,通信工程,2001015,2001015,2020.0,73.0,正常,182/68.5,4498.0,7.6,250.0,15.0,,3.47,,3.0
pjxyqxbl905,男,2020级,通信工程学院,通信工程,2001015,2001015,2021.0,78.2,正常,181/71.5,5042.0,7.32,265.0,18.1,,3.42,,4.0
pjxyqxbl905,男,2020级,通信工程学院,通信工程,2001015,2001015,2022.0,74.5,正常,181/71,4920.0,7.2,250.0,12.8,,3.49,,0.0
pjxyqxbl905,男,2020级,通信工程学院,通信工程,2001015,2001015,2023.0,76.2,正常,182/73.5,5491.0,6.8,251.0,8.7,,4.09,,0.0
pjvyzvfj989,男,2020级,人工智能学院,人工智能（第二学士学位）,22020031,22020031,,,,,,,,,,,,
pjxyqxbk469,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2020.0,60.0,免测,161.5/60,2355.0,,143.0,15.8,,,,
pjxyqxbk469,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2021.0,79.0,正常,162/58,3562.0,10.1,157.0,26.3,4.24,,40.0,
pjxyqxbk469,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2022.0,72.2,正常,162/55,3502.0,10.12,138.0,19.0,4.31,,42.0,
pjxyqxbk469,女,2020级,微电子学院,集成电路设计与集成系统,2014023,2014023,2023.0,56.8,正常,162/57,2768.0,11.0,130.0,21.7,4.36,,40.0,
pjxuqwbj985,男,2020级,机电工程学院,电气工程及其自动化,2004041,2004041,2020.0,64.5,正常,167.5/57,3523.0,7.9,214.0,12.0,,4.28,,2.0
