XH(学生学号),XB(学生性别),NJ(年级),YX(院系),ZY(专业),BJ(班级),BH(班号),XQ(学期),ZKC(总课程),KC(课程),SKSJ(上课时间)
pjxyqxbj001,男,2020级,微电子学院,微电子科学与工程,2014012,2014012,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二78
pjxpqxbj985,男,2020级,外国语学院,日语,2009021,2009021,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二78
pjxyqwbj016,男,2020级,人工智能学院,人工智能,2020031,2020031,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期四78
pjxyqwbk549,男,2020级,人工智能学院,智能科学与技术,2020011,2020011,2022-2023学年第1学期,体育1,网球俱乐部（初级班）,星期四78
pjxyqwbk638,女,2021级,人工智能学院,智能科学与技术,2120012,2120012,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四78
pjxyqxbk551,男,2020级,电子工程学院,电子信息工程,2002014,2002014,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期二56
pjxyqwbj865,男,2020级,计算机科学与技术学院,软件工程,2003052网,200301203,2022-2023学年第1学期,体育1,羽毛球俱乐部（中级班）,星期三56
pjxuqwbj853,男,2020级,机电工程学院,机械设计制造及其自动化,2004011,2004011,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期四34
pjxyqwbj674,女,2020级,人工智能学院,智能科学与技术,2020012,2020012,2022-2023学年第1学期,体育1,健美操俱乐部,星期四78
pjxyqxbj633,男,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,乒乓球俱乐部（中级班）,星期三56
pjxyqwbj401,女,2020级,计算机科学与技术学院,计算机科学与技术,2003012网,200301223,2022-2023学年第1学期,体育1,武术俱乐部（太极拳道）,星期二56
pjxyqwbj410,男,2020级,网络与信息安全学院,网络空间安全,2018039,2018039,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期三56
pjxyqxbk354,男,2020级,电子工程学院,电子信息工程,2002014,2002014,2022-2023学年第1学期,体育1,健身健美俱乐部（中级班）,星期二56
pjxsqxbj983,男,2020级,经济与管理学院,信息管理与信息系统,2006011,2006011,2022-2023学年第1学期,体育1,乒乓球俱乐部（初级班）,星期四34
pjxwxxbj918,女,2020级,电子工程学院,电子信息工程,2002911,2002911,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二34
pjxwzxbj993,女,2020级,电子工程学院,电子信息工程,2002013,2002013,2022-2023学年第1学期,体育1,赛艇俱乐部,星期二34
pjxyqxbj813,女,2020级,光电工程学院,电子科学与技术,2005011,2005011,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期三56
pjxxxxbj989,女,2020级,通信工程学院,通信工程,2001911,2001911,2022-2023学年第1学期,体育1,跆拳道俱乐部（初级班）,星期一78
pjxuqwbj559,女,2020级,机电工程学院,测控技术与仪器,2004052,2004052,2022-2023学年第1学期,体育1,健美操俱乐部,星期三78
pjxxxxbj932,男,2020级,通信工程学院,通信工程,2001911,2001911,2022-2023学年第1学期,体育1,篮球俱乐部（初级班）,星期一78
pjxyqxbj174,男,2020级,空间科学与技术学院,飞行器设计与工程,2016031,2016031,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二78
pjxyqxbl847,男,2020级,光电工程学院,电子科学与技术,2005012,2005012,2022-2023学年第1学期,体育1,羽毛球俱乐部（初级班）,星期一78
pjxyqwbk954,男,2020级,计算机科学与技术学院,软件工程,2003051嵌,200301225,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期三56
pjxyqxbk728,女,2020级,通信工程学院,通信工程,2001011,2001011,2022-2023学年第1学期,体育1,健美操俱乐部,星期一34
pjxyqwbj007,男,2020级,网络与信息安全学院,网络空间安全,2018031,2018031,2022-2023学年第1学期,体育1,足球俱乐部（初级班）,星期四56
pjxyqxbk246,女,2020级,电子工程学院,电子信息工程,2002014,2002014,2022-2023学年第1学期,体育1,瑜伽俱乐部,星期二56
pjwtqxbj918,男,2020级,生命科学技术学院,智能医学工程,2015031,2015031,2022-2023学年第1学期,体育1,基本体能俱乐部（混合班）,星期二78
