KS_XH(学号),KS_YYJB(语言级别),KS_CJ(成绩)
pjvyzvfj974,2,485.0
pjxuzsfj977,2,343.0
pjxuzsfj988,2,0.0
pjxuzsfj978,2,323.0
pjxtzxfj986,2,263.0
pjvyzvfj994,2,431.0
pjxtzxfj981,2,406.0
pjxtzxfj994,2,380.0
pjxwzxfj993,2,265.0
pjxwzxfj984,2,380.0
pjxtzxfj980,2,362.0
pjxwzxfj983,1,288.0
pjxwzxfj987,2,332.0
pjvyzvfj998,2,550.0
pjxxztfj992,1,335.0
pjxwzxfj981,2,371.0
pjxwzxfj991,1,337.0
pjxwzxfj994,1,274.0
pjxtzxfj983,2,403.0
pjxxztfj988,2,335.0
pjxxztfj982,2,376.0
pjxxztfj972,1,421.0
pjxuzsfj995,2,364.0
pjxuzsfj984,2,494.0
pjxuzsfj983,2,357.0
pjxtzxfj978,2,361.0
pjxvzrfj981,2,0.0
pjxtzxfj982,2,0.0
pjxvzrfj975,2,422.0
pjxwzxfj992,2,433.0
pjxtzxfj986,2,343.0
pjxtzxfj978,2,266.0
pjxtzxfj994,2,359.0
pjxuzsfj978,2,346.0
pjxvzxfj998,2,404.0
pjxuzsfj983,2,515.0
pjxvzrfj975,2,368.0
pjvyzvfj974,2,493.0
pjvyzvfj994,2,410.0
pjxtzxfj981,2,363.0
pjxtzxfj982,2,0.0
pjxxztfj988,2,434.0
pjxtzxfj983,2,344.0
pjxtzxfj980,2,318.0
pjxwzxfj987,2,317.0
pjxuzsfj977,2,304.0
pjxyqxbj922,2,470.0
pjxwzxfj981,2,386.0
pjxxztfj982,2,0.0
pjxxxxbj975,1,582.0
pjxuqwbj678,1,543.0
pjxyqxbk987,1,570.0
pjxyqxbk980,1,561.0
pjxyqwbj402,1,591.0
pjxyqxbk978,1,561.0
pjxuqwbj674,1,537.0
pjxuqwbj692,1,573.0
pjxyqwbj397,1,558.0
pjwtqxbj969,1,518.0
pjxyqwbj393,1,596.0
pjxyqxbk957,1,524.0
pjxxxxbj970,1,629.0
pjxyqxbk954,1,525.0
pjxyqwbj830,1,603.0
pjxsqxbj909,1,655.0
pjxyqxbj544,1,630.0
pjxyqwbj856,1,637.0
pjxyqxbj734,1,608.0
pjxpqxbj992,1,576.0
pjxyqwbj850,1,561.0
pjxyqwbj849,1,555.0
pjxyqwbj859,1,602.0
pjxyqxbj113,1,565.0
pjxuqwbj565,1,579.0
pjxrqxbj903,1,618.0
pjxsqxbj849,1,563.0
pjxsqxbj985,1,540.0
pjxyqxbk555,1,602.0
pjxyqwbj164,1,554.0
pjxsqxbj984,1,477.0
pjxyqxbk159,1,608.0
pjwrqxbj973,1,473.0
pjwtqxbj947,1,591.0
pjxsqxbj904,1,625.0
pjwtqxbj983,1,622.0
pjxuqwbj829,1,593.0
pjxxxxbj988,1,538.0
pjwrqxbj967,1,663.0
pjwtqxbj982,1,608.0
pjxsqxbj900,1,568.0
pjxyqxbj507,1,530.0
pjxyqwbj748,1,546.0
pjxxxxbj987,1,578.0
pjxxxxbj997,1,541.0
pjxyqwbk831,1,570.0
pjwrqxbj979,1,500.0
pjxyqxbj525,1,523.0
pjxyqxbj439,1,519.0
pjxyqwbj754,1,561.0
pjxsqxbj851,1,580.0
pjxyqwbj166,1,607.0
pjxuqwbj580,1,585.0
pjwrqxbj992,1,584.0
pjxxxxbj944,1,421.0
