XSBH(学生编号),JXJMC(奖学金名称),PDXN(评定学年),PDDJ(评定等级),JXJJZDW(奖学金捐赠单位),JLJB(奖励级别),FFJE(发放金额)
pjxyqxbj851,本科生校长奖,2022,本科生校长奖,,校级,10000
pjxyqxbk642,本科生校长奖,2022,本科生校长奖,,校级,10000
pjxxxxbj958,本科生校长奖,2022,本科生校长奖,,校级,10000
pjxyqxbk415,本科生校长奖,2022,本科生校长奖提名奖,,校级,8000
pjwrqxbj993,本科生校长奖,2022,本科生校长奖提名奖,,校级,8000
pjxuqwbj583,本科生校长奖,2022,本科生校长奖提名奖,,校级,8000
pjxyqxbj428,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj559,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj950,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj876,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj987,单项奖学金,2020,不分等级,单位,校级,600
pjxsqxbj944,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj947,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxyqxbj973,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj432,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj784,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj640,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxsqxbj965,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwrqxbj956,单项奖学金,2020,不分等级,单位,校级,600
pjxxzxkj995,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj330,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj630,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj315,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj966,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj965,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxyqxbj919,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj915,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj778,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqwbj621,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj326,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj949,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxsqxbj957,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj955,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjwtqxbj922,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxyqxbj954,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxsqxbj946,单项奖学金,2020,不分等级,单位,校级,600
pjxyqxbj953,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxuqwbj967,单项奖学金,2020,不分等级,单位,校级,600
pjxyqwbj059,单项奖学金,2020,不分等级,单位,校级,600
pjxwzxkj993,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwrqxbj951,综合发展奖学金,2020,一等奖学金,单位,校级,1500
pjxwzxkj992,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjxwzxkj989,综合发展奖学金,2020,三等奖学金,单位,校级,600
pjwtqxbj943,单项奖学金,2020,不分等级,单位,校级,600
pjxvztfj985,综合发展奖学金,2020,二等奖学金,单位,校级,1000
pjxtzxfj980,单项奖学金,2020,不分等级,单位,校级,600
