JSMC(竞赛名称),HJJB(获奖级别),HJDJ(获奖等级),HJSJ(获奖时间),XHHGH(学号或工号),NJ(年级),XY(学院),ZY(专业),DNPX(队内排序),ZZ(职责)
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqwbj820,2020,计算机大类,计算机大类,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxsqxbj899,2020,经济与管理学院,管理科学与工程类,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbl751,2020,通信工程,通信工程,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbj428,2020,电子信息,电子信息,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbj332,2020,通信工程学院,信息工程专业,8,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbk474,2020,通信工程学院,通信工程,10,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxxxxbj957,2020,通信工程学院,通信工程,2,学生
第十二届中国大学生物理学术竞赛（西部某省赛区）,省级,二等,2022-06-01 00:00:00,pjwrqxbj882,2020级,先进材料与纳米科技学院,材料科学与工程,1,学生
第十二届中国大学生物理学术竞赛（西北赛区）,省级,一等,2022-07-01 00:00:00,pjxyqxbk531,2020级,光电工程学院,电子科学与技术,2,学生
第十二届中国大学生物理学术竞赛（西北赛区）,省级,一等,2022-07-01 00:00:00,pjxyqxbj522,2020级,光电工程学院,电子科学与技术,2,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbl808,2020,微电子学院,集成电路设计与集成系统,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbj679,2020,微电子学院,集成电路设计与集成系统,4,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,二等奖,2022-08-01 00:00:00,pjxyqxbj717,2020,电子工程学院,电子信息工程,5,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj808,2020,经济与管理学院,管理科学与工程类,3,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj893,2020,经济与管理学院,管理科学与工程类,6,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxyqxbk336,2020,通信工程学院,通信工程专业,9,学生
中国大学生程序设计竞赛女生专场,国家级,银奖,2023-10-01 00:00:00,pjxyqwbj216,2020级,计算机科学与技术学院,计算机科学与技术,1,学生
第八届中国国际“互联网+”大学生创新创业大赛西部某省赛区省级复赛,省级,一等奖,2022-08-01 00:00:00,pjxsqxbj899,2020,经济与管理学院,管理科学与工程类,7,学生
