XH(学号),YDRQ(异动日期),YDLBDM(异动类别代码),YDLBDM(异动类别代码)_含义,YDYYDM(异动原因代码),YDYYDM(异动原因代码)_含义,SPRQ(审批日期),YYXDM(原院系代码),YZYDM(原专业代码),YZYFXDM(原专业方向代码),YNJ(原年级),XYXDM(现院系代码),XZYDM(现专业代码),XZYFXDM(现专业方向代码),XNJ(现年级),SFZX(是否在校),SFZX(是否在校)_含义,YDSM(异动说明),YXZ(原学制),YXZ(原学制)_含义,XBH(现班号),BY1(生效日期),BY2(备用),SFSCXKJG(是否删除选课结果),SFTBPYFA(是否同步培养方案),SFTBPYFA(是否同步培养方案)_含义
pjxyqwbj362,,4,转专业,6,专业分流,2022-08-16 14:51:39,1103,0301,03011,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003013软,2022-08-16,,0.0,1,休学
pjxuqwbj547,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:34:10,2320,9195,91958,2020,1104.0,0407,04078,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2004078,2021-07-16,,0.0,1,休学
pjxyqxbj799,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:31:52,1105,0505,,2020,528.0,2801,,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxpqxbj919,,18,学院异动,31,学籍从书院转入学院,2021-07-16 11:30:37,2321,202006,,2020,1109.0,0991,,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,209601,2021-07-16,,0.0,1,休学
pjxyqwbj946,,16,班级异动,20,班级异动,2022-07-11 22:52:43,1103,0305,03057,2020,1103.0,0305,03051,2020.0,,,分流,4.0,转专业,2003051,2022-07-11,,0.0,1,休学
pjxyqxbj626,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:33:46,1105,0503,,2020,529.0,2902,,2020.0,,,1111,4.0,转专业,2005031,2022-07-12,,0.0,1,休学
pjxyqwbj877,,4,转专业,6,专业分流,2022-08-16 15:21:02,1103,0301,03011,2020,1103.0,0301,03017,2020.0,,,分流,4.0,转专业,2003011网,2022-08-16,,0.0,1,休学
pjxyqxbk905,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:52:50,2321,9291,92919,2020,1101.0,0101,01019,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2001019,2021-07-16,,0.0,1,休学
pjxyqxbk335,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:56:01,2321,9292,92929,2020,1102.0,0201,02019,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2002019,2021-07-16,,0.0,1,休学
pjxyqwbj312,,4,转专业,5,保留学籍,2020-09-18 21:26:14,2320,202002,,2020,2320.0,9192,91928,2020.0,,,2020202110006zy班选拔2020级,,,2003018,2020-09-18,,,0,0
pjxqzxbj984,,16,班级异动,20,班级异动,2021-07-23 11:24:18,1108,0801,08011,2020,1108.0,0801,08016,2020.0,,,根据培养方案要求，2020级录音艺术专业学生在第三学期开始进行专业分流。,4.0,转专业,2008014,2021-07-26,,0.0,1,休学
pjxyqxbj359,,16,班级异动,20,班级异动,2022-04-03 12:18:53,1102,0201,,2020,1102.0,0201,02011,2020.0,,,20220403-12,4.0,转专业,2002012,2022-04-03,,0.0,0,0
pjxyqwbj129,,4,转专业,6,专业分流,2022-08-12 17:57:54,1103,0301,03011,2020,1103.0,0301,0301X,2020.0,,,分流,4.0,转专业,2003013数,2022-08-12,,0.0,1,休学
pjxyqxbj838,,16,班级异动,20,班级异动,2021-09-01 16:03:53,1102,0201,02018,2020,1102.0,0201,02018,2020.0,,,2021-09-01 00:00:00,4.0,转专业,2002018,2021-09-01,,0.0,1,休学
pjxuqwbj591,,4,转专业,5,保留学籍,2022-07-13 11:33:39,1104,0403,,2020,1101.0,0101,01011,2020.0,,,20212022200052020级转专业,,,2001011,2022-07-13,,,0,0
pjwrqxbj905,,11,留级,13,延长学制,2022-04-25 17:06:16,1117,1702,,2020,2323.0,202109,,2021.0,,,,4.0,转专业,219901,2022-04-25,,0.0,1,休学
pjxyqwbk724,,4,转专业,6,专业分流,2022-08-20 11:17:09,1103,0305,03056,2020,1103.0,0305,03056,2020.0,,,分流,4.0,转专业,2003051云,2022-08-20,,0.0,1,休学
pjxyqwbj340,,16,班级异动,20,班级异动,2022-04-28 15:01:32,1120,2003,,2020,1120.0,2003,2003,2020.0,,,添加专业方向,4.0,转专业,2020031,2022-04-28,,0.0,1,休学
pjxuqwbj615,,16,班级异动,20,班级异动,2022-08-16 18:21:35,1104,0403,,2020,1104.0,0403,,2020.0,,,分班,4.0,转专业,2004032,2022-08-16,,0.0,1,休学
pjxyqwbk511,,13,延长学制,14,死亡,2024-05-23 18:59:42,1120,2001,,2020,1120.0,2001,,2021.0,,,本字[2023]xx号,4.0,转专业,2120011,2024-05-23,,0.0,0,0
pjxyqwbk638,,13,延长学制,14,死亡,2024-05-23 18:54:00,1120,2001,,2020,1120.0,2001,,2021.0,,,本字[2023]xx号,4.0,转专业,2120012,2024-05-23,,0.0,0,0
pjxyqxbk583,,18,学院异动,31,学籍从书院转入学院,2022-07-12 18:31:53,1105,0505,,2020,528.0,2801,,2020.0,,,1111,4.0,转专业,,2022-07-12,,0.0,1,休学
pjxyqwbj327,,18,学院异动,31,学籍从书院转入学院,2021-07-16 10:25:25,2320,9192,91928,2020,1103.0,0301,03018,2020.0,,,根据书院制学生管理规定，2020级学生第一学年学习完成后，学籍从书院转入学院。,4.0,转专业,2003018,2021-07-16,,0.0,1,休学
pjxsqxbj969,,11,留级,13,延长学制,2022-08-26 14:58:35,1101,0101,01011,2020,1101.0,0101,01011,2021.0,,,转专业经学校教务处批准降级,4.0,转专业,2101011,2022-08-26,,1.0,1,休学
pjxyqxbk503,,2,复学,26,因病复学-学生申请,2022-08-18 15:56:17,1102,0201,02011,2020,1102.0,0201,02011,2021.0,1.0,休学,,4.0,转专业,2102014,2022-08-18,,0.0,1,休学
pjxpqxbj977,,18,学院异动,31,学籍从书院转入学院,2022-07-02 19:11:39,1109,0991,,2020,1109.0,0903,,2020.0,,,,4.0,转专业,2009031,2022-07-02,,0.0,1,休学
pjxyqwbj361,,4,转专业,6,专业分流,2022-08-20 15:02:58,1103,0301,03012,2020,1103.0,0301,03012,2020.0,,,分流,4.0,转专业,2003011软,2022-08-20,,0.0,1,休学
