BZ(备注),XZNJ(现在年级),XB(性别),XB(性别)_含义,DWDM(院系代码),ZYDM(专业代码),BJDM(班级代码),SYDDM(生源地代码),CPXN(测评学年),CPXQ(测评学期),CPXQ(测评学期)_含义,CJF(成绩分),CJPM(成绩排名),SZF(素质分),SZFPM(素质分排名),NLF(能力分),NLFPM(能力分排名),XSPF(学生评分),BZRPF(班主任评分),FJF(附加分),ZCJ(总成绩),ZYNJPM(专业年级排名),DJ(等级),CZRQ(操作日期),CZZ(操作者),SZNLF(素质+能力分),SZNLFPM(素质+能力分排名),ZYNJRS(专业年级人数),BY1(备用1),BY2(备用2),TSTAMP(时间戳),XH(学号),PDXN(评定学年),PDXQ(评定学期),DYF(德育分),DYCJPM(德育成绩排名),ZYF(智育分),ZYCJPM(智育成绩排名),TYF(体育分),TYCJPM(体育成绩排名),ZHJNF(综合技能分),FZSZCJPM(发展素质成绩排名),QTPF(其它评分),JF(加分),JFLY(加分理由),KF(扣分),KFLY(扣分理由),ZF(总分),BJPM(班级排名),BJRS(班级人数),BJPMBL(班级排名比例),ZYPM(专业排名),ZYRS(专业人数),ZYPMBL(专业排名比例),XNZPM(学年总排名)
,2020,2,第二学期,1101,0101,2001011,140000.0,2022,9,其他,,,,,,,,,,92.849,45,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj285,,,,,,,,,,,,,,,,,4,71,,,,,
,2020,1,第一学期,1101,0101,2001011,120000.0,2022,9,其他,,,,,,,,,,86.812,100,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj106,,,,,,,,,,,,,,,,,9,71,,,,,
,2020,1,第一学期,1101,0101,2001011,350000.0,2022,9,其他,,,,,,,,,,86.618,103,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk634,,,,,,,,,,,,,,,,,10,71,,,,,
,2020,1,第一学期,1101,0101,2001011,150000.0,2022,9,其他,,,,,,,,,,84.463,139,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj770,,,,,,,,,,,,,,,,,17,71,,,,,
,2020,1,第一学期,1101,0101,2001011,620000.0,2022,9,其他,,,,,,,,,,83.396,152,,16:03:54,sumk,,,641,,,07:37:15,pjxuqwbj591,,,,,,,,,,,,,,,,,19,71,,,,,
,2020,1,第一学期,1101,0101,2001011,350000.0,2022,9,其他,,,,,,,,,,83.32,154,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk679,,,,,,,,,,,,,,,,,20,71,,,,,
,2020,1,第一学期,1101,0101,2001011,360000.0,2022,9,其他,,,,,,,,,,82.118,176,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk822,,,,,,,,,,,,,,,,,22,71,,,,,
,2020,2,第二学期,1101,0101,2001011,430000.0,2022,9,其他,,,,,,,,,,80.984,203,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk728,,,,,,,,,,,,,,,,,23,71,,,,,
,2020,1,第一学期,1101,0101,2001011,610000.0,2022,9,其他,,,,,,,,,,80.263,222,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbl963,,,,,,,,,,,,,,,,,27,71,,,,,
,2020,1,第一学期,1101,0101,2001011,130000.0,2022,9,其他,,,,,,,,,,79.971,237,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk513,,,,,,,,,,,,,,,,,29,71,,,,,
,2020,1,第一学期,1101,0101,2001011,320000.0,2022,9,其他,,,,,,,,,,78.886,276,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj862,,,,,,,,,,,,,,,,,34,71,,,,,
,2020,1,第一学期,1101,0101,2001011,140000.0,2022,9,其他,,,,,,,,,,78.818,280,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj340,,,,,,,,,,,,,,,,,35,71,,,,,
,2020,1,第一学期,1101,0101,2001011,410000.0,2022,9,其他,,,,,,,,,,78.625,287,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj440,,,,,,,,,,,,,,,,,36,71,,,,,
,2020,1,第一学期,1101,0101,2001011,220000.0,2022,9,其他,,,,,,,,,,77.943,321,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbl758,,,,,,,,,,,,,,,,,42,71,,,,,
,2020,1,第一学期,1101,0101,2001011,520000.0,2022,9,其他,,,,,,,,,,75.12,444,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk748,,,,,,,,,,,,,,,,,51,71,,,,,
,2020,1,第一学期,1101,0101,2001011,610000.0,2022,9,其他,,,,,,,,,,71.718,529,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbl810,,,,,,,,,,,,,,,,,56,71,,,,,
,2020,2,第二学期,1101,0101,2001011,340000.0,2022,9,其他,,,,,,,,,,70.745,547,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk889,,,,,,,,,,,,,,,,,59,71,,,,,
,2020,1,第一学期,1101,0101,2001011,130000.0,2022,9,其他,,,,,,,,,,70.01,560,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk479,,,,,,,,,,,,,,,,,61,71,,,,,
,2020,2,第二学期,1101,0101,2001011,650000.0,2022,9,其他,,,,,,,,,,67.803,577,,16:03:54,sumk,,,641,,,07:37:15,pjxxzxbj998,,,,,,,,,,,,,,,,,64,71,,,,,
,2020,1,第一学期,1101,0101,2001011,130000.0,2022,9,其他,,,,,,,,,,66.304,586,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk472,,,,,,,,,,,,,,,,,65,71,,,,,
,2020,1,第一学期,1101,0101,2001011,440000.0,2022,9,其他,,,,,,,,,,58.786,621,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj646,,,,,,,,,,,,,,,,,70,71,,,,,
,2020,1,第一学期,1101,0101,2001012,140000.0,2022,9,其他,,,,,,,,,,96.211,26,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj279,,,,,,,,,,,,,,,,,2,69,,,,,
,2020,2,第二学期,1101,0101,2001012,360000.0,2022,9,其他,,,,,,,,,,91.322,54,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk798,,,,,,,,,,,,,,,,,6,69,,,,,
,2020,1,第一学期,1101,0101,2001012,360000.0,2022,9,其他,,,,,,,,,,88.297,81,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk791,,,,,,,,,,,,,,,,,8,69,,,,,
,2020,1,第一学期,1101,0101,2001012,320000.0,2022,9,其他,,,,,,,,,,87.37,95,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj841,,,,,,,,,,,,,,,,,9,69,,,,,
,2020,1,第一学期,1101,0101,2001012,150000.0,2022,9,其他,,,,,,,,,,85.129,127,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj757,,,,,,,,,,,,,,,,,10,69,,,,,
,2020,1,第一学期,1101,0101,2001012,130000.0,2022,9,其他,,,,,,,,,,85.084,129,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk533,,,,,,,,,,,,,,,,,11,69,,,,,
,2020,1,第一学期,1101,0101,2001012,210000.0,2022,9,其他,,,,,,,,,,81.7,181,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk444,,,,,,,,,,,,,,,,,16,69,,,,,
,2020,1,第一学期,1101,0101,2001012,410000.0,2022,9,其他,,,,,,,,,,81.511,185,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj496,,,,,,,,,,,,,,,,,17,69,,,,,
,2020,2,第二学期,1101,0101,2001012,610000.0,2022,9,其他,,,,,,,,,,80.633,213,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbl867,,,,,,,,,,,,,,,,,20,69,,,,,
,2020,1,第一学期,1101,0101,2001012,430000.0,2022,9,其他,,,,,,,,,,79.887,238,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk695,,,,,,,,,,,,,,,,,22,69,,,,,
,2020,2,第二学期,1101,0101,2001012,610000.0,2022,9,其他,,,,,,,,,,79.661,246,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk121,,,,,,,,,,,,,,,,,23,69,,,,,
,2020,1,第一学期,1101,0101,2001012,320000.0,2022,9,其他,,,,,,,,,,79.495,257,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbj896,,,,,,,,,,,,,,,,,24,69,,,,,
,2020,1,第一学期,1101,0101,2001012,340000.0,2022,9,其他,,,,,,,,,,78.788,281,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk903,,,,,,,,,,,,,,,,,25,69,,,,,
,2020,1,第一学期,1101,0101,2001012,220000.0,2022,9,其他,,,,,,,,,,78.347,307,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbl781,,,,,,,,,,,,,,,,,27,69,,,,,
,2020,1,第一学期,1101,0101,2001012,410000.0,2022,9,其他,,,,,,,,,,78.095,314,,16:03:54,sumk,,,641,,,07:37:15,pjxuqwbj914,,,,,,,,,,,,,,,,,28,69,,,,,
,2020,1,第一学期,1101,0101,2001012,610000.0,2022,9,其他,,,,,,,,,,77.472,338,,16:03:54,sumk,,,641,,,07:37:15,pjxyqxbk086,,,,,,,,,,,,,,,,,30,69,,,,,
