XSBH(学生编号),HDRQ(活动日期)
pjwtqxbj914,2021-04-16 11:36:00
pjxqqxbj986,2021-04-16 11:36:00
pjxqqxbj991,2021-04-16 11:36:00
pjxyqwbj188,2021-04-16 11:36:00
pjxyqxbk775,2021-04-19 10:53:00
pjxyqxbj150,2021-04-19 10:53:00
pjxyqxbj522,2021-04-19 10:53:00
pjxyqxbj910,2021-04-19 10:53:00
pjxyqxbl752,2021-04-19 10:53:00
pjxyqxbj955,2021-04-19 10:53:00
pjwrqxbj916,2021-04-19 10:53:00
pjxyqxbj347,2021-04-19 10:53:00
pjxyqxbk836,2021-04-19 10:53:00
pjxqqxbj997,2021-04-16 11:36:00
pjxuqwbj952,2021-04-16 11:36:00
pjxyqxbj214,2021-04-16 11:36:00
pjxyqwbj461,2021-04-16 11:36:00
pjxyqwbj585,2021-04-16 11:36:00
pjxyqwbj991,2021-04-16 11:36:00
pjxyqwbj697,2021-04-16 11:36:00
pjxyqxbk414,2021-04-16 11:36:00
pjxuqwbj952,2021-04-16 11:36:00
pjxyqxbj214,2021-04-16 11:36:00
pjxqqxbj982,2021-04-16 11:36:00
pjxuqwbj492,2021-04-16 11:36:00
pjxyqwbj872,2021-04-16 11:36:00
pjxsqxbj982,2021-04-16 11:36:00
pjxyqwbk700,2021-04-16 11:36:00
pjxuqwbj784,2021-04-16 11:36:00
pjxyqwbj327,2021-04-16 11:36:00
pjxqqxbj959,2021-04-16 11:36:00
pjxuqwbj708,2021-04-16 11:36:00
pjwtqxbj993,2021-04-16 11:36:00
pjxqqxbj959,2021-04-16 11:36:00
pjxyqwbj007,2021-04-16 11:36:00
pjxuqwbj648,2021-04-16 11:36:00
pjxyqwbj935,2021-04-16 11:36:00
pjwtqxbj954,2021-04-16 11:36:00
pjxsqxbj968,2021-04-16 11:36:00
pjxsqxbj934,2021-04-16 11:36:00
pjwtqxbj931,2021-04-16 11:36:00
pjxuqwbj687,2021-05-22 00:19:00
pjxsqxbj808,2021-05-22 00:19:00
pjxsqxbj900,2021-05-22 00:19:00
pjwtqxbj985,2021-05-22 00:19:00
pjxqqxbj975,2021-05-22 00:19:00
pjxyqxbk336,2021-05-22 00:19:00
