LOGIN_NAME(账号 登录名),XM(真实姓名),DEPARTMENT_NAME(院系名称),MAJOR_NAME(专业名称),CLASS_NAME(班级名称),ROLEID(角色 1老师 3学生 7管理员),BFB(综合表现)
pjxyqxbk705,同学|老师,电子工程学院,信息对抗技术,2002031,3,99.62
pjxyqxbk703,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.72
pjxyqxbk700,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.64
pjxyqxbk697,同学|老师,通信工程学院,信息工程,2001052,3,99.83
pjxyqxbk695,同学|老师,通信工程学院,通信工程,2001012,3,99.71
pjxyqxbk686,同学|老师,通信工程学院,通信工程,2001016,3,99.54
pjxyqxbk685,同学|老师,电子工程学院,电子信息工程,2002013,3,98.37
pjxyqxbk684,同学|老师,通信工程学院,通信工程,2001016,3,99.86
pjxyqxbk683,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.75
pjxyqxbk682,同学|老师,通信工程学院,通信工程,2001016,3,99.16
pjxyqxbk681,同学|老师,通信工程学院,通信工程,2001016,3,99.63
pjxyqxbk680,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.8
pjxyqxbk679,同学|老师,通信工程学院,通信工程,2001011,3,99.75
pjxyqxbk677,同学|老师,电子工程学院,电子信息工程,2002013,3,99.71
pjxyqxbk676,同学|老师,电子工程学院,电子信息工程,2002013,3,99.6
pjxyqxbk674,同学|老师,物理与光电工程学院,电子科学与技术,2005018,3,99.77
pjxyqxbk669,同学|老师,物理与光电工程学院,电子科学与技术,2005011,3,99.19
pjxyqxbk667,同学|老师,物理与光电工程学院,电波传播与天线,2005061,3,98.79
pjxyqxbk665,同学|老师,通信工程学院,通信工程,2001016,3,99.75
pjxyqxbk663,同学|老师,电子工程学院,电子信息工程,2002013,3,99.73
pjxyqxbk662,同学|老师,电子工程学院,电子信息工程,2002013,3,99.74
pjxyqxbk661,同学|老师,物理与光电工程学院,电波传播与天线,2005061,3,99.55
pjxyqxbk657,同学|老师,通信工程学院,通信工程,2001015,3,99.67
pjxyqxbk656,同学|老师,通信工程学院,通信工程,2001017,3,99.68
pjxyqxbk655,同学|老师,电子工程学院,电子信息工程,2002013,3,99.91
pjxyqxbk649,同学|老师,微电子学院,集成电路设计与集成系统,2014021,3,99.76
pjxyqxbk647,同学|老师,通信工程学院,空间信息与数字技术,2001041,3,99.85
pjxyqxbk644,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.62
pjxyqxbk643,同学|老师,微电子学院,微电子科学与工程,2014013,3,99.49
pjxyqxbk642,同学|老师,电子工程学院,电子信息工程,2002013,3,99.09
pjxyqxbk640,同学|老师,微电子学院,微电子科学与工程,2014012,3,99.44
pjxyqxbk637,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.77
pjxyqxbk634,同学|老师,通信工程学院,通信工程,2001011,3,99.61
pjxyqxbk633,同学|老师,空间科学与技术学院,空间科学与技术,2016029,3,99.39
pjxyqxbk632,同学|老师,物理与光电工程学院,电子科学与技术,2005012,3,99.71
pjxyqxbk631,同学|老师,物理与光电工程学院,电子信息科学与技术,2005051,3,99.7
pjxyqxbk630,同学|老师,微电子学院,集成电路设计与集成系统,2014022,3,99.89
pjxyqxbk629,同学|老师,通信工程学院,通信工程,2001017,3,99.73
pjxyqxbk627,同学|老师,微电子学院,微电子科学与工程,2014012,3,97.74
pjxyqxbk626,同学|老师,通信工程学院,信息工程,2001051,3,99.58
pjxyqxbk625,同学|老师,电子工程学院,电子信息工程,2002013,3,99.62
pjxyqxbk621,同学|老师,通信工程学院,信息工程,2001051,3,99.61
pjxyqxbk615,同学|老师,空间科学与技术学院,空间科学与技术,2016021,3,99.38
pjxyqxbk614,同学|老师,电子工程学院,电磁场与无线技术,2002061,3,99.66
pjxyqxbk613,同学|老师,物理与光电工程学院,电子信息科学与技术,2005052,3,94.81
pjxyqxbk611,同学|老师,通信工程学院,空间信息与数字技术,2001041,3,99.78
