XN(学年),XQ(学期),ZC(周次),SKXQ(上课学期),RQ(日期),KSJC(开始节次),KSJCSJ(开始节次时间),JSJC(结束节次),JSJCSJ(结束节次时间),XH(学号),XY(学院),ZY(专业),NJ(年级),JASDM(教室),KCM(课程名),KCH(课程号),KXH(课序号),JSMC(教室名称),SZJZ(所在建筑),SZLC(所在楼层),FJBH(房间编号),PLACE_CODE(房间编码),SZXQ(所在校区),FJEJFL(房间二级分类),JZBM(建筑编码),ZTDM(状态代码),ZT(状态),DKSJ(打卡时间),KCXZ(课程学制),KCLB(课程类别)
2023-2024,2,17,5,2024-06-21,9,,10,,pjxyqxbj337,电子工程学院,电子信息工程,2020,A-214,图论研讨,MS006036,,,A楼,2,A-214,23100502101015,南校区,多媒体教室,231005,2,正常,2024-06-21 19:05:00,公共任选,通识教育选修课
2023-2024,2,17,5,2024-06-21,9,,10,,pjxyqwbk972,人工智能学院,智能科学与技术,2020,A-214,图论研讨,MS006036,,,A楼,2,A-214,23100502101015,南校区,多媒体教室,231005,2,正常,2024-06-21 19:03:00,公共任选,通识教育选修课
2023-2024,2,19,1,2024-07-01,5,,8,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,A-308,第三代半导体产业发展现状及机遇挑战,IC246053,,,A楼,3,A-308,23100503101009,南校区,多媒体教室,231005,2,正常,2024-07-01 13:56:00,,
2023-2024,2,19,1,2024-07-01,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-01 13:40:00,,
2023-2024,2,19,1,2024-07-01,5,,8,,pjxsqxbj920,经济与管理学院,工业工程,2020,A-323,量化投资前沿与实践,IC246044,,,A楼,3,A-323,23100503101026,南校区,多媒体教室,231005,2,正常,2024-07-01 13:57:00,,
2023-2024,2,19,1,2024-07-01,1,,4,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,B-101,科学的进步——如何在学术领域成就科学家之路,TE246005,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-01 08:13:00,,
2023-2024,2,19,1,2024-07-01,1,,4,,pjxyqwbj333,计算机科学与技术学院,软件工程,2020,B-307,人工智能前沿,AI246001,,,B楼,3,B-307,23100403101007,南校区,基础智慧教室,231004,2,正常,2024-07-01 10:20:00,,
2023-2024,2,19,1,2024-07-01,1,,4,,pjxsqxbj920,经济与管理学院,工业工程,2020,B-208,管理学原理,EM246001,,,B楼,2,B-208,23100402101001,南校区,基础智慧教室,231004,2,正常,2024-07-01 08:20:00,,
2023-2024,2,19,1,2024-07-01,3,,4,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-01 10:06:00,,
2023-2024,2,19,1,2024-07-01,5,,8,,pjxyqxbl755,光电工程学院,光电信息科学与工程,2020,EII-423,综合电子信息技术之智能传感与控制,IC246103,,,E楼二区,4,EII-423,20200404103023,南校区,,202004,2,正常,2024-07-01 13:58:00,,
2023-2024,2,19,2,2024-07-02,5,,8,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,A-308,第三代半导体产业发展现状及机遇挑战,IC246053,,,A楼,3,A-308,23100503101009,南校区,多媒体教室,231005,2,正常,2024-07-02 13:50:00,,
2023-2024,2,19,2,2024-07-02,5,,8,,pjxsqxbj920,经济与管理学院,工业工程,2020,A-323,量化投资前沿与实践,IC246044,,,A楼,3,A-323,23100503101026,南校区,多媒体教室,231005,2,正常,2024-07-02 13:49:00,,
2023-2024,2,19,2,2024-07-02,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-02 13:40:00,,
2023-2024,2,19,2,2024-07-02,3,,4,,pjxyqxbl943,空间科学与技术学院,空间科学与技术,2020,B-301,空间天气学与现代电子器件应用导论,SS246001,,,B楼,3,B-301,23100403101001,南校区,基础智慧教室,231004,2,正常,2024-07-02 10:16:00,,
2023-2024,2,19,2,2024-07-02,1,,4,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,B-101,科学的进步——如何在学术领域成就科学家之路,TE246005,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-02 08:26:00,,
2023-2024,2,19,2,2024-07-02,1,,4,,pjxsqxbj920,经济与管理学院,工业工程,2020,B-208,管理学原理,EM246001,,,B楼,2,B-208,23100402101001,南校区,基础智慧教室,231004,2,正常,2024-07-02 08:20:00,,
2023-2024,2,19,2,2024-07-02,5,,6,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,B-101,离散模型：从统计物理学到社会选择和社区检测——机器学习视角,PY246003,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-02 13:58:00,,
2023-2024,2,19,2,2024-07-02,1,,4,,pjxyqwbj333,计算机科学与技术学院,软件工程,2020,B-307,人工智能前沿,AI246001,,,B楼,3,B-307,23100403101007,南校区,基础智慧教室,231004,2,正常,2024-07-02 10:21:00,,
2023-2024,2,19,2,2024-07-02,1,,2,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-02 08:26:00,,
2023-2024,2,19,3,2024-07-03,5,,8,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,A-223,多学科设计优化应用,IC246011,,,A楼,2,A-223,23100502101025,南校区,多媒体教室,231005,2,正常,2024-07-03 15:33:00,,
2023-2024,2,19,3,2024-07-03,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-03 13:40:00,,
2023-2024,2,19,3,2024-07-03,5,,8,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,A-308,第三代半导体产业发展现状及机遇挑战,IC246053,,,A楼,3,A-308,23100503101009,南校区,多媒体教室,231005,5,代签,2024-07-03 15:36:00,,
2023-2024,2,19,3,2024-07-03,5,,8,,pjxsqxbj920,经济与管理学院,工业工程,2020,A-323,量化投资前沿与实践,IC246044,,,A楼,3,A-323,23100503101026,南校区,多媒体教室,231005,2,正常,2024-07-03 13:53:00,,
2023-2024,2,19,3,2024-07-03,1,,4,,pjxsqxbj920,经济与管理学院,工业工程,2020,B-208,管理学原理,EM246001,,,B楼,2,B-208,23100402101001,南校区,基础智慧教室,231004,2,正常,2024-07-03 08:46:00,,
2023-2024,2,19,3,2024-07-03,3,,4,,pjxyqxbl943,空间科学与技术学院,空间科学与技术,2020,B-301,空间天气学与现代电子器件应用导论,SS246001,,,B楼,3,B-301,23100403101001,南校区,基础智慧教室,231004,2,正常,2024-07-03 10:24:00,,
2023-2024,2,19,3,2024-07-03,5,,6,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,B-101,离散模型：从统计物理学到社会选择和社区检测——机器学习视角,PY246003,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-03 13:55:00,,
2023-2024,2,19,3,2024-07-03,1,,4,,pjxyqwbj333,计算机科学与技术学院,软件工程,2020,B-307,人工智能前沿,AI246001,,,B楼,3,B-307,23100403101007,南校区,基础智慧教室,231004,2,正常,2024-07-03 10:15:00,,
2023-2024,2,19,4,2024-07-04,5,,8,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,A-308,第三代半导体产业发展现状及机遇挑战,IC246053,,,A楼,3,A-308,23100503101009,南校区,多媒体教室,231005,2,正常,2024-07-04 13:53:00,,
2023-2024,2,19,4,2024-07-04,1,,4,,pjxsqxbj920,经济与管理学院,工业工程,2020,B-208,管理学原理,EM246001,,,B楼,2,B-208,23100402101001,南校区,基础智慧教室,231004,2,正常,2024-07-04 08:23:00,,
2023-2024,2,19,4,2024-07-04,1,,4,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,B-101,科学的进步——如何在学术领域成就科学家之路,TE246005,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-04 09:33:00,,
2023-2024,2,19,4,2024-07-04,5,,8,,pjxsqxbj920,经济与管理学院,工业工程,2020,A-323,量化投资前沿与实践,IC246044,,,A楼,3,A-323,23100503101026,南校区,多媒体教室,231005,2,正常,2024-07-04 13:53:00,,
2023-2024,2,19,4,2024-07-04,5,,6,,pjxyqxbk373,物理学院,电子信息科学与技术,2020,B-101,离散模型：从统计物理学到社会选择和社区检测——机器学习视角,PY246003,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-04 14:02:00,,
2023-2024,2,19,4,2024-07-04,5,,6,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-325,信息安全入门与实践,IC246036,,,A楼,3,A-325,23100503101029,南校区,多媒体教室,231005,4,缺勤,2024-07-04 13:40:00,,
2023-2024,2,19,4,2024-07-04,9,,10,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,A-220,京剧鉴赏与实践,TS246225,,,A楼,2,A-220,23100502101022,南校区,多媒体教室,231005,4,缺勤,2024-07-04 18:40:00,,
2023-2024,2,19,4,2024-07-04,5,,8,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,2,正常,2024-07-04 15:57:00,,
2023-2024,2,19,4,2024-07-04,5,,8,,pjxyqxbk615,空间科学与技术学院,空间科学与技术,2020,A-302,硬笔书法,TS246227,,,A楼,3,A-302,23100503101002,南校区,多媒体教室,231005,2,正常,2024-07-04 15:57:00,,
2023-2024,2,19,4,2024-07-04,1,,4,,pjxyqxbj718,空间科学与技术学院,飞行器设计与工程,2020,A-223,多学科设计优化应用,IC246011,,,A楼,2,A-223,23100502101025,南校区,多媒体教室,231005,2,正常,2024-07-04 09:12:00,,
2023-2024,2,19,4,2024-07-04,3,,4,,pjxyqxbl943,空间科学与技术学院,空间科学与技术,2020,B-301,空间天气学与现代电子器件应用导论,SS246001,,,B楼,3,B-301,23100403101001,南校区,基础智慧教室,231004,2,正常,2024-07-04 10:22:00,,
2023-2024,2,19,4,2024-07-04,3,,4,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-04 10:10:00,,
2023-2024,2,19,4,2024-07-04,1,,4,,pjxyqwbj333,计算机科学与技术学院,软件工程,2020,B-307,人工智能前沿,AI246001,,,B楼,3,B-307,23100403101007,南校区,基础智慧教室,231004,2,正常,2024-07-04 10:12:00,,
2023-2024,2,19,5,2024-07-05,1,,2,,pjxyqxbk839,电子工程学院,信息对抗技术,2020,C-131,跨文化交际口语训练营,FL246004,,,C楼,1,C-131,23100201101051,南校区,分组研讨教室,231002,4,缺勤,2024-07-05 08:26:00,,
2023-2024,2,19,5,2024-07-05,1,,4,,pjxyqwbk813,人工智能学院,智能科学与技术,2020,B-101,科学的进步——如何在学术领域成就科学家之路,TE246005,,,B楼,1,B-101,23100401101043,南校区,多媒体教室,231004,2,正常,2024-07-05 08:30:00,,
2023-2024,2,19,5,2024-07-05,1,,4,,pjxyqxbl943,空间科学与技术学院,空间科学与技术,2020,B-301,空间天气学与现代电子器件应用导论,SS246001,,,B楼,3,B-301,23100403101001,南校区,基础智慧教室,231004,2,正常,2024-07-05 09:28:00,,
