IDSERTAL(学号),LOGINTIME(刷卡时间),LOGINADDRESS(刷卡地点),LOGINSIGN((标识（1出0进）)LOGINSIGN),DOORCTRLCODE((控制器编号)),DOORCODE((门数))
pjxyqwbk583,2026-01-12 08:32:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxyqwbk583,2026-01-10 08:31:00,A校区-东南门-出入口-车辆通道,0,287,1
pjxyqwbk899,2024-01-06 19:49:00,B校区-（宿舍区A）1号楼-1区121,0,418,1
pjxyqwbk899,2024-01-06 13:19:00,B校区-（宿舍区A）1号楼-1区121,0,418,1
pjxyqwbk899,2024-01-06 13:42:00,B校区-（宿舍区A）1号楼-1区121,0,418,1
pjxyqwbk899,2024-01-07 18:09:00,B校区-（宿舍区A）1号楼-1区121,0,418,1
pjxyqwbk899,2024-01-07 18:49:00,B校区-（宿舍区A）1号楼-1区121,0,418,1
pjxyqwbk899,2024-01-07 09:25:00,B校区-（宿舍区A）1号楼-1区121,0,418,1
pjwtqxbj988,2024-01-23 20:26:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbl876,2024-01-23 21:23:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl876,2024-01-21 20:47:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl876,2024-01-21 23:07:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk980,2024-01-14 19:05:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl876,2024-01-14 23:10:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl876,2024-01-14 23:10:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl876,2024-01-20 22:52:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbk452,2024-01-23 14:14:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk452,2024-01-17 09:37:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj854,2024-01-22 10:56:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj635,2024-01-30 12:26:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbj120,2024-01-13 13:08:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj755,2024-01-11 22:52:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj755,2024-01-17 19:27:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqwbj628,2024-01-08 18:25:00,B校区-（宿舍区A）1号楼-1区620,0,422,1
pjxyqxbj371,2024-01-16 08:23:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj762,2024-01-14 18:44:00,B校区（宿舍区A）4号楼1区323,0,396,1
pjxyqxbk649,2024-01-10 08:47:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj805,2024-01-14 17:36:00,B校区-西门-南1,0,481,1
pjxuqwbj731,2024-01-13 17:27:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj731,2024-01-10 17:42:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj731,2024-01-10 21:40:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj731,2024-01-12 17:18:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxyqxbk160,2024-01-30 10:43:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk880,2024-01-25 17:42:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk649,2024-01-16 20:35:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj361,2024-01-23 21:59:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj361,2024-01-23 08:44:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk556,2024-01-25 16:31:00,B校区-F楼-F1栋教学楼,0,48,1
pjxyqxbj361,2024-01-20 20:32:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj361,2024-01-12 17:52:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk880,2024-01-17 07:23:00,A校区-西南门-出入口-1学生,0,22,2
pjxuqwbj565,2024-01-17 12:19:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbl891,2024-01-18 13:58:00,B校区-东大门-出入口-北门人行通道1,0,290,2
pjxyqxbj945,2024-01-18 07:59:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-01-12 12:21:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj945,2024-01-12 07:58:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-01-27 11:58:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-01-10 08:00:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-01-26 08:33:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-01-24 21:33:00,A校区-北大门-出入口-人行通道1,0,294,2
pjwtqxbj988,2024-01-20 18:48:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj945,2024-01-16 21:58:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbk680,2024-01-16 14:06:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbk680,2024-01-13 14:34:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj154,2024-01-14 13:25:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj361,2024-01-21 17:42:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj361,2024-01-21 17:48:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxyqxbj361,2024-01-18 08:32:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbj361,2024-01-18 12:23:00,A校区-北大门-出入口-人行通道1,0,294,2
pjxuqwbj755,2024-01-20 20:38:00,A校区-西南门-出口-2学生,0,439,1
pjxuqwbj839,2024-02-02 10:20:00,A校区-东南门-出入口-车辆通道,0,287,2
pjxuqwbj731,2024-01-14 18:20:00,A校区-西南门-出入口-车辆通道,0,24,1
pjxuqwbj755,2024-01-20 20:47:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl797,2024-01-12 08:40:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbl797,2024-01-11 08:37:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxyqxbl766,2024-01-11 21:00:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxuqwbj674,2024-01-15 18:57:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxuqwbj674,2024-01-14 22:51:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxuqwbj674,2024-01-10 08:21:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxuqwbj755,2024-01-22 11:19:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk528,2024-01-22 11:54:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxuqwbj755,2024-01-17 11:40:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxuqwbj674,2024-01-17 08:48:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxuqwbj674,2024-01-17 10:15:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk555,2024-01-23 14:48:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk555,2024-01-30 09:42:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbl766,2024-01-11 00:10:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbk368,2024-01-13 16:18:00,A校区-北大门-出入口-人行通道1,0,294,1
pjxuqwbj674,2024-01-10 08:16:00,A校区-西南门-出口-2学生,0,439,1
pjxyqxbk165,2024-01-23 22:01:00,B校区-北大门-出入口-车通道,0,292,1
pjxyqwbk922,2024-01-10 09:44:00,A校区-东南门-出入口-人行通道2,0,286,1
pjxyqxbk649,2024-01-30 13:46:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk958,2024-01-15 08:54:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxuqwbj881,2024-01-23 21:23:00,B校区-东大门-出入口-北门人行通道1,0,290,1
pjxuqwbj881,2024-01-24 08:25:00,B校区-东大门-出入口-北门人行通道1,0,290,2
pjxyqxbk649,2024-01-24 08:58:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbk680,2024-01-23 11:56:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbk680,2024-01-23 13:59:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxyqxbj154,2024-01-17 09:50:00,A校区-北大门-出入口-车辆通道1,0,295,2
pjxyqxbj154,2024-01-11 08:32:00,A校区-北大门-出入口-车辆通道1,0,295,1
pjxuqwbj674,2024-01-12 18:04:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbj762,2023-12-04 13:22:00,B校区（宿舍区A）4号楼1区323,0,396,1
pjxyqxbj762,2023-12-04 23:09:00,B校区（宿舍区A）4号楼1区323,0,396,1
pjxyqxbj762,2023-12-05 10:12:00,B校区（宿舍区A）4号楼1区323,0,396,1
pjxyqxbj762,2023-12-05 14:24:00,B校区（宿舍区A）4号楼1区323,0,396,1
pjxyqxbj762,2023-12-06 13:40:00,B校区（宿舍区A）4号楼1区323,0,396,1
pjxuqwbj850,2023-12-06 12:44:00,A校区-西南门-出入口-人行通道2,0,23,1
pjxyqxbl766,2023-12-03 21:41:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2023-12-05 09:22:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2023-12-05 13:56:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2023-12-05 14:29:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2023-12-05 17:32:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2023-12-06 11:54:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
pjxyqxbl766,2023-12-06 12:43:00,B校区-（宿舍区A）3号楼-1区423,0,392,1
