学号_统一,学习_累计旷课次数,学习_迟到早退次数,学习_周末自习打卡次数,学习_自习打卡总数,学习_周末自习占比,学习_作业平均得分,学习_深夜提交作业次数
200307700011,0.0,0.0,2.0,2.0,0.9999950000249999,0.0,0.0
pjvyzxbj993,0.0,0.0,82.0,448.0,0.18303571020009576,69.51,0.0
pjvyzxbj995,0.0,0.0,0.0,0.0,0.0,77.81,0.0
pjvyzxbj997,0.0,0.0,0.0,0.0,0.0,86.0,0.0
pjvyzxbj998,0.0,0.0,0.0,0.0,0.0,62.114285714285714,0.0
pjwqzwbj998,0.0,0.0,0.0,0.0,0.0,75.03529411764706,0.0
pjwrqxbj882,0.0,0.0,0.0,0.0,0.0,85.2090909090909,0.0
pjwrqxbj884,0.0,0.0,0.0,0.0,0.0,78.96363636363637,0.0
pjwrqxbj890,0.0,0.0,127.0,655.0,0.19389312681079196,75.22142857142856,0.0
pjwrqxbj898,0.0,0.0,0.0,0.0,0.0,80.17727272727274,0.0
pjwrqxbj901,0.0,0.0,0.0,0.0,0.0,81.39861111111111,0.0
pjwrqxbj905,0.0,0.0,0.0,0.0,0.0,82.22749999999999,0.0
pjwrqxbj911,0.0,0.0,18.0,132.0,0.13636362603305863,68.38333333333334,0.0
pjwrqxbj913,0.0,0.0,0.0,0.0,0.0,86.58571428571429,0.0
pjwrqxbj916,0.0,0.0,0.0,0.0,0.0,95.88888888888889,0.0
pjwrqxbj918,0.0,0.0,0.0,0.0,0.0,77.48260869565217,0.0
pjwrqxbj919,0.0,0.0,0.0,0.0,0.0,57.10294117647059,0.0
pjwrqxbj920,0.0,0.0,0.0,0.0,0.0,88.175,0.0
pjwrqxbj923,0.0,0.0,42.0,283.0,0.1484098887487672,86.63,0.0
pjwrqxbj924,0.0,0.0,0.0,0.0,0.0,55.55833333333334,0.0
pjwrqxbj925,0.0,0.0,0.0,0.0,0.0,83.29285714285713,0.0
pjwrqxbj926,0.0,0.0,0.0,0.0,0.0,83.41818181818182,0.0
pjwrqxbj929,0.0,0.0,0.0,0.0,0.0,73.5725,0.0
pjwrqxbj932,0.0,0.0,0.0,0.0,0.0,79.33076923076922,0.0
pjwrqxbj935,0.0,0.0,0.0,0.0,0.0,83.0909090909091,0.0
pjwrqxbj938,0.0,0.0,0.0,0.0,0.0,79.68181818181819,0.0
pjwrqxbj944,0.0,0.0,0.0,0.0,0.0,75.06666666666666,0.0
pjwrqxbj945,0.0,0.0,0.0,0.0,0.0,72.20714285714286,0.0
pjwrqxbj948,0.0,0.0,0.0,0.0,0.0,76.16071428571429,0.0
pjwrqxbj949,0.0,0.0,0.0,0.0,0.0,75.44545454545454,0.0
pjwrqxbj951,0.0,0.0,0.0,0.0,0.0,68.78333333333333,0.0
pjwrqxbj952,0.0,0.0,0.0,0.0,0.0,82.62857142857143,0.0
pjwrqxbj955,0.0,0.0,0.0,0.0,0.0,75.37333333333332,0.0
