学号_统一,体育_打卡总次数,体育_打卡平均间隔天数,体育_最新体测总分
200307700011,0.0,0.0,0.0
pjvyzvfj974,0.0,0.0,0.0
pjvyzvfj977,0.0,0.0,0.0
pjvyzvfj989,1.0,0.0,0.0
pjvyzvfj994,5.0,50.25,0.0
pjvyzvfj998,1.0,0.0,0.0
pjvyzxbj993,360.0,1.6685236768802227,62.4
pjvyzxbj995,344.0,1.7580174927113703,79.3
pjvyzxbj997,452.0,1.6940133037694014,79.2
pjvyzxbj998,433.0,1.7962962962962963,69.0
pjwqzwbj998,191.0,3.0526315789473686,89.75
pjwrqxbj882,434.0,1.8013856812933025,70.2
pjwrqxbj884,453.0,1.7300884955752212,75.8
pjwrqxbj890,517.0,1.5096899224806202,67.6
pjwrqxbj898,451.0,1.7333333333333334,54.8
pjwrqxbj901,378.0,2.050397877984085,13.2
pjwrqxbj905,307.0,2.022875816993464,56.0
pjwrqxbj911,326.0,2.3815384615384616,57.7
pjwrqxbj913,386.0,2.0259740259740258,62.7
pjwrqxbj916,579.0,1.3529411764705883,59.5
pjwrqxbj918,383.0,2.0471204188481678,46.6
pjwrqxbj919,210.0,3.4688995215311005,36.3
pjwrqxbj920,437.0,1.775229357798165,67.1
pjwrqxbj923,359.0,2.1759776536312847,36.8
pjwrqxbj924,505.0,1.5436507936507937,62.0
pjwrqxbj925,480.0,1.62839248434238,64.45
pjwrqxbj926,447.0,1.7354260089686098,63.4
pjwrqxbj929,466.0,1.6516129032258065,70.6
pjwrqxbj932,409.0,1.9142156862745099,63.2
pjwrqxbj935,383.0,2.0340314136125652,69.35
pjwrqxbj938,446.0,1.750561797752809,59.2
pjwrqxbj944,456.0,1.720879120879121,74.6
pjwrqxbj945,427.0,1.8309859154929577,57.9
pjwrqxbj948,411.0,1.9073170731707316,61.7
pjwrqxbj949,484.0,1.6149068322981366,70.2
pjwrqxbj951,421.0,1.838095238095238,63.9
pjwrqxbj952,258.0,3.035019455252918,74.4
pjwrqxbj955,378.0,2.053050397877984,55.0
pjwrqxbj956,400.0,1.9598997493734336,68.0
pjwrqxbj965,476.0,1.64,83.3
pjwrqxbj967,496.0,1.5757575757575757,75.35
pjwrqxbj973,441.0,1.7636363636363637,63.0
pjwrqxbj974,453.0,1.7300884955752212,58.7
pjwrqxbj977,448.0,1.7404921700223714,60.4
pjwrqxbj978,416.0,1.8819277108433734,72.7
