学号_统一,学业_总修读学分,学业_学分加权平均分,学业_挂科学分占比,学业_绝对挂科门数,学业_奖学金累计总额
200307700011,26.2,87.02286754852383,0.007633584872677531,2,0.0
pjvyzvfj974,76.0,87.48025164733531,0.0,0,5000.0
pjvyzvfj977,83.0,74.45782235447923,0.08433733923646515,2,0.0
pjvyzvfj989,76.0,90.67104070117885,0.0,0,1000.0
pjvyzvfj994,80.0,73.87499076562615,0.049999993750000776,1,600.0
pjvyzvfj998,76.0,81.02104197091553,0.0,0,0.0
pjvyzxbj993,188.8,68.61864043333472,0.1991525318245481,15,0.0
pjvyzxbj995,195.8,68.92032334421229,0.22369763923913993,21,600.0
pjvyzxbj997,147.5,89.06033294506217,0.0,0,4000.0
pjvyzxbj998,215.9,66.19175237648206,0.30986566420260936,25,0.0
pjwqzwbj998,154.0,77.90908585005936,0.06168830768257742,4,600.0
pjwrqxbj882,160.8,87.56715873338564,0.0,1,1600.0
pjwrqxbj884,146.5,91.18702449235327,0.0,3,2500.0
pjwrqxbj890,158.5,87.88674524373846,0.003154573933465367,2,2800.0
pjwrqxbj898,170.8,73.18793482506236,0.12587821277059644,11,0.0
pjwrqxbj901,256.0,50.72343551861581,0.4027343592681891,32,0.0
pjwrqxbj905,268.2,53.12415909305895,0.4351230262817664,33,0.0
pjwrqxbj911,163.0,77.74232651887567,0.03680981369264947,6,600.0
pjwrqxbj913,181.0,71.5215430098595,0.16850827798296805,11,0.0
pjwrqxbj916,156.2,82.23302930646419,0.012804096491415078,1,9600.0
pjwrqxbj918,159.5,73.5235063621626,0.06583071687581712,8,0.0
pjwrqxbj919,198.0,62.7530271336855,0.2212121100397924,25,0.0
pjwrqxbj920,157.5,80.24126474658637,0.012698411892164325,2,0.0
pjwrqxbj923,153.0,84.53594218719331,0.026143789140928814,3,0.0
pjwrqxbj924,152.7,79.67975902555607,0.0,1,600.0
pjwrqxbj925,158.5,88.32049915958996,0.0,2,3200.0
pjwrqxbj926,155.5,83.68488207814264,0.0,5,0.0
pjwrqxbj929,203.2,71.2539335012828,0.12795274960862454,12,600.0
pjwrqxbj932,155.5,84.60706851401488,0.0,1,600.0
pjwrqxbj935,159.2,80.77700497631879,0.0,1,0.0
pjwrqxbj938,169.2,82.85401401572021,0.0,1,1200.0
pjwrqxbj944,155.0,82.70580111575477,0.0,1,1200.0
pjwrqxbj945,164.5,77.87598310784297,0.04255318890254171,3,0.0
pjwrqxbj948,157.5,78.13142361070327,0.02857142675736973,3,0.0
pjwrqxbj949,155.5,85.70288837923546,0.0,0,600.0
pjwrqxbj951,155.5,93.1755567089674,0.0,1,11000.0
pjwrqxbj952,218.4,59.874081507597,0.2907509024381455,22,0.0
pjwrqxbj955,170.0,72.34940750885838,0.0999999941176474,7,0.0
pjwrqxbj956,159.0,81.58175587536127,0.022012577231913383,1,600.0
pjwrqxbj965,157.5,87.07301034457078,0.0,0,21000.0
pjwrqxbj967,161.2,89.16004409677147,0.0,0,8000.0
pjwrqxbj973,151.2,85.04033829098293,0.0,1,600.0
pjwrqxbj974,149.0,87.59395385275478,0.0,0,2400.0
pjwrqxbj977,179.0,79.41675533984608,0.011173183733341691,1,0.0
pjwrqxbj978,157.5,85.39491521302126,0.012698411892164325,1,0.0
pjwrqxbj979,159.5,82.14733027289465,0.03134796041705577,3,2500.0
pjwrqxbj980,150.8,82.21352239963377,0.0,3,1600.0
pjwrqxbj983,155.5,85.24693985550226,0.0,0,1200.0
pjwrqxbj984,190.0,68.92473321448773,0.20789472590027758,12,600.0
pjwrqxbj985,157.5,87.23935954035812,0.0,2,2200.0
pjwrqxbj988,149.5,90.45016117390226,0.0,0,10500.0
pjwrqxbj991,176.0,80.54260906007903,0.08522726788481433,7,4100.0
pjwrqxbj992,159.2,81.52135166323168,0.0,0,1200.0
pjwrqxbj993,155.5,87.10417446275406,0.0,0,49000.0
pjwrqxbj994,155.0,81.80128504507839,0.038709674921956455,2,0.0
pjwrqxbj998,159.5,77.60689168608829,0.02507836833364462,2,0.0
pjwrzxbj996,171.9,69.78708145508543,0.08900523042436123,11,0.0
pjwtqxbj913,164.5,81.04497987568512,0.06079026986077387,4,3600.0
pjwtqxbj914,155.0,80.11418837972978,0.022580643704474598,1,5600.0
pjwtqxbj918,189.0,74.44020770157631,0.08465608017692697,8,0.0
pjwtqxbj920,161.0,81.14533657482382,0.05900620751514239,3,600.0
pjwtqxbj921,155.5,79.12925536146268,0.03858520652185167,5,600.0
pjwtqxbj922,149.5,86.62675005841137,0.013377925526560166,1,6800.0
pjwtqxbj925,167.5,83.76417410363139,0.06567163787034998,7,5000.0
pjwtqxbj928,170.5,78.99999536656918,0.046920818362415344,10,1600.0
pjwtqxbj929,153.5,75.53680289662522,0.032573287780241836,5,1000.0
pjwtqxbj930,227.0,62.9691602216229,0.28634359972054624,34,0.0
pjwtqxbj931,151.5,88.96699082726133,0.0,0,15700.0
pjwtqxbj932,203.8,67.77281316129474,0.24043178408087418,17,0.0
pjwtqxbj933,169.5,74.29262098568609,0.08849557000026136,12,600.0
pjwtqxbj935,161.0,86.20589526671458,0.031055898692180204,3,8000.0
pjwtqxbj939,264.7,53.506231450463495,0.4068756929778734,43,0.0
pjwtqxbj941,214.5,69.48671004723963,0.20745919778744998,20,0.0
pjwtqxbj942,162.5,75.56799534966181,0.07384614930177542,10,0.0
pjwtqxbj943,148.5,79.50167814803514,0.0,1,600.0
pjwtqxbj944,161.5,81.96160483209877,0.04953560064795042,7,600.0
pjwtqxbj946,196.7,73.41484120920991,0.11692932806663305,8,600.0
pjwtqxbj947,152.5,84.01310924504202,0.0,1,0.0
pjwtqxbj950,199.0,67.59748404032743,0.21356782846392822,15,0.0
pjwtqxbj952,190.0,75.2926276161775,0.09999999473684239,13,600.0
pjwtqxbj953,150.5,90.35746907923793,0.0,0,11600.0
pjwtqxbj954,177.0,71.86609763468374,0.13276835408088394,10,0.0
pjwtqxbj957,155.2,84.82087082339751,0.0,0,600.0
