学号_统一,拓展_竞赛参与总次数,拓展_竞赛综合权重得分
pjvyzvfj974,1,3.0
pjvyzvfj977,1,3.0
pjvyzxbj997,1,0.5
pjwrqxbj882,2,6.0
pjwrqxbj884,3,6.5
pjwrqxbj890,4,7.0
pjwrqxbj911,2,6.0
pjwrqxbj916,4,11.0
pjwrqxbj923,2,6.0
pjwrqxbj925,3,6.5
pjwrqxbj938,2,6.0
pjwrqxbj944,2,6.0
pjwrqxbj951,9,22.0
pjwrqxbj965,2,6.0
pjwrqxbj967,5,10.0
pjwrqxbj979,9,33.0
pjwrqxbj983,1,3.0
pjwrqxbj988,1,0.5
pjwrqxbj991,6,15.5
pjwrqxbj993,8,16.5
pjwtqxbj921,1,3.0
pjwtqxbj922,1,3.0
pjwtqxbj925,5,12.0
pjwtqxbj929,5,15.0
pjwtqxbj931,2,1.0
pjwtqxbj933,3,6.5
pjwtqxbj935,4,9.5
pjwtqxbj941,1,3.0
pjwtqxbj944,2,3.5
pjwtqxbj953,5,10.0
pjwtqxbj954,1,0.5
pjwtqxbj957,1,3.0
pjwtqxbj965,3,9.0
pjwtqxbj967,4,13.5
pjwtqxbj974,6,15.5
pjwtqxbj979,2,1.0
pjwtqxbj983,2,6.0
pjwtqxbj984,1,0.5
pjwtqxbj985,2,6.0
pjwtqxbj987,1,3.0
pjwtqxbj993,3,4.0
pjwtqxbj998,4,12.0
pjwuzxbj992,2,3.5
pjxpqxbj912,1,5.0
pjxpqxbj916,2,8.0
pjxpqxbj956,2,8.0
pjxpqxbj963,3,11.0
pjxpqxbj967,2,1.0
pjxpqxbj975,1,3.0
pjxpqxbj978,1,3.0
pjxpqxbj992,1,3.0
pjxqqxbj961,1,3.0
pjxqqxbj964,6,18.0
pjxqqxbj969,1,3.0
pjxqqxbj974,1,3.0
pjxqqxbj985,1,3.0
pjxqqxbj991,2,6.0
pjxqzxbj994,6,18.0
pjxrqxbj891,5,12.5
pjxrqxbj898,2,10.0
pjxrqxbj901,2,3.5
pjxrqxbj903,2,6.0
pjxrqxbj905,1,3.0
pjxrqxbj908,6,17.5
pjxrqxbj918,4,9.5
pjxrqxbj919,1,0.5
pjxrqxbj930,5,12.5
pjxrqxbj937,2,1.0
pjxrqxbj939,1,3.0
pjxrqxbj942,1,3.0
pjxrqxbj943,2,3.5
pjxrqxbj951,1,3.0
pjxrqxbj952,1,3.0
pjxrqxbj954,2,6.0
pjxrqxbj955,1,0.5
pjxrqxbj957,3,4.0
pjxrqxbj961,4,9.5
pjxrqxbj962,1,3.0
pjxrqxbj973,1,3.0
pjxrqxbj983,3,9.0
pjxrqxbj988,1,3.0
pjxrqxbj990,4,14.0
pjxrqxbj992,1,0.5
pjxrqxbj994,2,3.5
pjxrqxbj996,4,11.5
pjxsqxbj778,2,6.0
pjxsqxbj790,1,0.5
pjxsqxbj808,6,18.0
pjxsqxbj811,3,9.0
pjxsqxbj815,4,9.5
pjxsqxbj816,1,0.5
pjxsqxbj823,1,3.0
pjxsqxbj824,1,3.0
pjxsqxbj827,1,3.0
pjxsqxbj834,1,3.0
pjxsqxbj851,6,15.5
pjxsqxbj867,1,0.5
pjxsqxbj871,2,6.0
pjxsqxbj872,1,3.0
pjxsqxbj876,1,3.0
pjxsqxbj884,3,9.0
pjxsqxbj887,6,18.0
pjxsqxbj892,1,3.0
pjxsqxbj893,14,41.5
pjxsqxbj894,3,9.0
pjxsqxbj897,4,14.0
pjxsqxbj899,6,20.0
pjxsqxbj900,1,3.0
pjxsqxbj904,4,9.5
pjxsqxbj906,1,3.0
pjxsqxbj909,2,3.5
pjxsqxbj912,6,18.0
pjxsqxbj918,5,18.5
pjxsqxbj920,1,3.0
pjxsqxbj932,5,12.5
pjxsqxbj934,4,7.0
pjxsqxbj936,4,9.5
pjxsqxbj944,1,3.0
pjxsqxbj949,1,3.0
pjxsqxbj954,3,6.5
pjxsqxbj968,1,0.5
pjxsqxbj969,7,18.5
pjxsqxbj971,2,3.5
pjxsqxbj981,2,3.5
pjxsqxbj982,2,3.5
pjxsqxbj983,1,3.0
pjxsqxbj984,3,9.0
pjxsqxbj989,1,3.0
pjxsqxbj994,3,6.5
pjxsqxbj996,2,3.5
pjxtztbj989,3,10.5
pjxuqwbj446,1,3.0
pjxuqwbj449,2,6.0
pjxuqwbj454,1,3.0
pjxuqwbj461,3,9.0
pjxuqwbj463,2,8.0
pjxuqwbj470,1,3.0
pjxuqwbj472,2,8.0
pjxuqwbj473,1,3.0
pjxuqwbj474,2,3.5
pjxuqwbj476,1,0.5
pjxuqwbj491,1,3.0
pjxuqwbj492,1,3.0
pjxuqwbj496,6,18.0
pjxuqwbj498,1,3.0
pjxuqwbj499,2,5.5
pjxuqwbj515,3,9.0
pjxuqwbj526,1,3.0
pjxuqwbj536,1,3.0
pjxuqwbj537,1,3.0
pjxuqwbj539,1,3.0
pjxuqwbj545,1,3.0
pjxuqwbj546,1,3.0
pjxuqwbj547,1,3.0
pjxuqwbj552,5,15.0
pjxuqwbj559,1,0.5
pjxuqwbj564,1,3.0
pjxuqwbj565,2,3.5
pjxuqwbj568,1,3.0
pjxuqwbj571,1,3.0
pjxuqwbj572,1,3.0
pjxuqwbj580,3,6.5
pjxuqwbj581,1,3.0
pjxuqwbj583,7,20.5
pjxuqwbj584,4,20.0
pjxuqwbj606,6,13.0
pjxuqwbj615,2,6.0
pjxuqwbj624,4,12.0
pjxuqwbj634,5,14.5
pjxuqwbj642,3,11.0
pjxuqwbj643,1,3.0
pjxuqwbj644,4,9.5
pjxuqwbj647,3,8.5
pjxuqwbj648,2,6.0
pjxuqwbj650,3,6.5
pjxuqwbj661,2,3.5
pjxuqwbj663,2,8.0
pjxuqwbj666,3,9.0
pjxuqwbj673,1,3.0
pjxuqwbj674,12,44.0
pjxuqwbj677,1,3.0
pjxuqwbj678,1,0.5
pjxuqwbj679,2,6.0
pjxuqwbj691,2,3.5
pjxuqwbj694,2,6.0
pjxuqwbj705,1,3.0
pjxuqwbj708,3,6.5
pjxuqwbj714,10,38.0
pjxuqwbj715,1,3.0
pjxuqwbj721,1,3.0
pjxuqwbj723,3,6.5
pjxuqwbj731,11,41.0
pjxuqwbj733,1,3.0
pjxuqwbj735,1,3.0
pjxuqwbj738,14,64.0
pjxuqwbj755,4,9.5
pjxuqwbj761,1,0.5
pjxuqwbj783,1,3.0
pjxuqwbj785,1,3.0
pjxuqwbj788,3,6.5
pjxuqwbj805,10,38.0
pjxuqwbj811,5,19.0
pjxuqwbj818,1,0.5
pjxuqwbj829,3,9.0
pjxuqwbj833,8,32.0
pjxuqwbj838,1,3.0
pjxuqwbj839,3,11.0
pjxuqwbj840,10,38.0
pjxuqwbj848,2,8.0
pjxuqwbj857,2,6.0
pjxuqwbj858,1,3.0
pjxuqwbj870,12,44.0
pjxuqwbj876,4,14.0
pjxuqwbj879,3,9.0
pjxuqwbj892,3,13.0
pjxuqwbj898,2,6.0
pjxuqwbj903,3,6.5
pjxuqwbj904,11,38.5
pjxuqwbj914,1,3.0
pjxuqwbj918,1,3.0
pjxuqwbj927,6,18.0
pjxuqwbj928,1,3.0
pjxuqwbj930,4,12.0
pjxuqwbj944,1,3.0
pjxuqwbj947,1,3.0
pjxuqwbj958,1,3.0
pjxuqwbj986,1,3.0
pjxuqwbj996,1,3.0
pjxuzvbj996,1,3.0
pjxwxxbj914,1,3.0
pjxwxxbj934,1,3.0
pjxwxxbj944,1,3.0
pjxwzxbj985,1,0.5
pjxwzxbj990,1,3.0
pjxwzxbj996,1,3.0
pjxwzxbj997,6,18.0
pjxwzxfj992,2,10.0
pjxwzxkj985,1,3.0
pjxwzxkj989,2,3.5
pjxwzxkj991,1,3.0
pjxwzxkj992,2,6.0
pjxwzxkj993,3,8.5
pjxxxxbj914,1,3.0
pjxxxxbj915,7,20.0
pjxxxxbj917,3,9.0
pjxxxxbj921,3,11.0
pjxxxxbj930,3,6.5
pjxxxxbj933,1,0.5
pjxxxxbj937,1,0.5
pjxxxxbj942,1,0.5
pjxxxxbj943,1,5.0
pjxxxxbj953,1,5.0
pjxxxxbj957,5,14.5
pjxxxxbj958,19,73.0
pjxxxxbj966,2,3.5
pjxxxxbj975,1,3.0
pjxxxxbj980,1,0.5
pjxxxxbj987,3,9.0
pjxxxxbj988,1,3.0
pjxxxxbj995,1,3.0
pjxxxxbj997,1,0.5
pjxxztfj972,1,3.0
pjxxzxkj987,3,6.5
pjxxzxkj990,3,9.0
pjxxzxkj997,1,0.5
pjxyqwbj004,1,3.0
pjxyqwbj006,8,31.5
pjxyqwbj013,1,3.0
pjxyqwbj020,3,6.5
pjxyqwbj036,4,14.0
pjxyqwbj043,2,3.5
pjxyqwbj053,2,6.0
pjxyqwbj054,2,3.5
pjxyqwbj058,3,6.5
pjxyqwbj069,1,3.0
pjxyqwbj072,3,15.0
pjxyqwbj077,1,5.0
pjxyqwbj078,4,20.0
pjxyqwbj084,1,3.0
pjxyqwbj086,4,12.0
pjxyqwbj092,2,6.0
pjxyqwbj095,7,22.5
pjxyqwbj104,1,5.0
pjxyqwbj108,1,3.0
pjxyqwbj109,3,4.0
pjxyqwbj112,1,3.0
pjxyqwbj117,2,3.5
pjxyqwbj125,3,4.0
pjxyqwbj126,3,6.5
pjxyqwbj130,3,6.0
pjxyqwbj153,2,10.0
pjxyqwbj166,1,3.0
pjxyqwbj171,3,6.0
pjxyqwbj205,8,40.0
pjxyqwbj207,1,3.0
pjxyqwbj216,17,79.0
pjxyqwbj219,4,11.5
pjxyqwbj223,4,9.5
pjxyqwbj225,7,23.0
pjxyqwbj232,3,13.0
pjxyqwbj236,7,26.5
pjxyqwbj245,2,6.0
pjxyqwbj248,2,5.5
pjxyqwbj249,3,10.5
pjxyqwbj251,3,1.5
pjxyqwbj252,1,3.0
pjxyqwbj253,6,30.0
pjxyqwbj266,1,3.0
pjxyqwbj274,1,3.0
pjxyqwbj279,1,3.0
pjxyqwbj300,5,10.0
pjxyqwbj309,2,6.0
pjxyqwbj311,4,20.0
pjxyqwbj318,5,21.0
pjxyqwbj326,1,3.0
pjxyqwbj331,2,6.0
pjxyqwbj338,1,3.0
pjxyqwbj358,1,3.0
pjxyqwbj360,1,3.0
pjxyqwbj367,1,3.0
pjxyqwbj368,4,7.0
pjxyqwbj375,1,3.0
pjxyqwbj384,6,17.5
pjxyqwbj394,1,3.0
pjxyqwbj398,4,12.0
pjxyqwbj403,2,3.5
pjxyqwbj407,2,5.5
pjxyqwbj408,1,0.5
pjxyqwbj410,8,34.0
pjxyqwbj417,2,6.0
pjxyqwbj425,1,3.0
pjxyqwbj428,4,7.0
pjxyqwbj431,3,6.5
pjxyqwbj435,4,9.5
pjxyqwbj437,4,12.0
pjxyqwbj441,1,3.0
pjxyqwbj453,2,8.0
pjxyqwbj455,1,3.0
pjxyqwbj469,1,3.0
pjxyqwbj478,2,3.5
pjxyqwbj479,1,0.5
pjxyqwbj486,2,6.0
pjxyqwbj487,1,3.0
pjxyqwbj515,2,6.0
pjxyqwbj518,6,15.0
pjxyqwbj527,3,6.5
pjxyqwbj531,1,3.0
