学号_统一,生活_门禁刷卡总次数,生活_晚归异常次数,生活_网络使用累计时长,生活_单次网络平均使用时长
200307700011,0.0,0.0,2292.85,327.55
pjvyzxbj993,0.0,0.0,2338.4,292.3
pjvyzxbj995,0.0,0.0,246.93,82.31
pjvyzxbj997,0.0,0.0,1393.23,199.03285714285715
pjvyzxbj998,0.0,0.0,2740.34,391.4771428571429
pjwqzwbj998,0.0,0.0,4776.56,597.07
pjwrqxbj882,2.0,0.0,7759.18,1108.4542857142858
pjwrqxbj884,0.0,0.0,1757.6100000000001,251.08714285714288
pjwrqxbj890,2.0,0.0,8872.07,1267.4385714285713
pjwrqxbj898,0.0,0.0,2736.88,390.98285714285714
pjwrqxbj901,0.0,0.0,1315.97,187.99571428571429
pjwrqxbj905,0.0,0.0,2654.96,379.28000000000003
pjwrqxbj911,2.0,0.0,4109.61,587.0871428571428
pjwrqxbj913,0.0,0.0,3546.0699999999997,506.58142857142855
pjwrqxbj916,2.0,0.0,3165.67,527.6116666666667
pjwrqxbj918,0.0,0.0,6694.24,956.3199999999999
pjwrqxbj919,0.0,0.0,1893.26,270.4657142857143
pjwrqxbj920,0.0,0.0,2594.05,370.5785714285715
pjwrqxbj923,0.0,0.0,2518.39,359.77
pjwrqxbj924,1.0,0.0,2252.59,321.79857142857145
pjwrqxbj925,1.0,0.0,1736.1,248.0142857142857
pjwrqxbj926,2.0,0.0,2375.45,339.34999999999997
pjwrqxbj929,1.0,0.0,977.42,162.90333333333334
pjwrqxbj932,10.0,0.0,1920.45,274.35
pjwrqxbj935,0.0,0.0,3523.9900000000002,503.4271428571429
pjwrqxbj938,0.0,0.0,4098.23,585.4614285714285
pjwrqxbj944,2.0,0.0,5018.6900000000005,716.9557142857144
pjwrqxbj945,3.0,0.0,1549.33,221.33285714285714
pjwrqxbj948,1.0,0.0,1667.08,238.1542857142857
pjwrqxbj949,4.0,0.0,483.94,69.13428571428571
pjwrqxbj951,3.0,0.0,2289.37,327.05285714285714
pjwrqxbj952,0.0,0.0,2710.1099999999997,387.1585714285714
pjwrqxbj955,0.0,0.0,3541.31,505.90142857142854
pjwrqxbj956,0.0,0.0,2203.46,314.78000000000003
pjwrqxbj965,0.0,0.0,2577.4799999999996,368.2114285714285
pjwrqxbj967,0.0,0.0,5972.38,853.1971428571429
pjwrqxbj973,15.0,0.0,2931.03,418.71857142857147
pjwrqxbj974,10.0,0.0,2879.27,411.32428571428574
pjwrqxbj977,4.0,0.0,5197.02,742.4314285714287
pjwrqxbj978,0.0,0.0,589.11,84.15857142857143
pjwrqxbj979,0.0,0.0,14774.05,2110.578571428571
pjwrqxbj980,9.0,0.0,2764.75,394.9642857142857
pjwrqxbj983,0.0,0.0,6525.1900000000005,932.1700000000001
pjwrqxbj984,9.0,0.0,933.68,133.38285714285715
pjwrqxbj985,0.0,0.0,4757.889999999999,679.6985714285713
pjwrqxbj988,10.0,0.0,2408.58,344.0828571428571
pjwrqxbj991,0.0,0.0,2467.7799999999997,352.53999999999996
pjwrqxbj992,0.0,0.0,4223.83,603.4042857142857
pjwrqxbj993,5.0,0.0,755.25,107.89285714285714
pjwrqxbj994,0.0,0.0,2500.08,357.1542857142857
pjwrqxbj998,0.0,0.0,5157.9,736.842857142857
pjwrzxbj996,0.0,0.0,4696.65,670.9499999999999
pjwtqxbj913,0.0,0.0,1436.5,287.3
pjwtqxbj914,1.0,0.0,1107.05,369.01666666666665
pjwtqxbj918,0.0,0.0,1942.22,277.46
pjwtqxbj920,0.0,0.0,2983.5299999999997,426.2185714285714
pjwtqxbj921,6.0,0.0,5529.95,789.9928571428571
pjwtqxbj922,0.0,0.0,1990.0,284.2857142857143
pjwtqxbj925,0.0,0.0,2633.84,376.2628571428572
pjwtqxbj928,0.0,0.0,2475.16,353.5942857142857
pjwtqxbj929,0.0,0.0,100.77000000000001,33.59
pjwtqxbj930,1.0,0.0,2670.98,381.56857142857143
pjwtqxbj931,1.0,0.0,2004.87,286.40999999999997
pjwtqxbj932,2.0,0.0,1573.37,224.76714285714283
pjwtqxbj933,0.0,0.0,6390.49,912.9271428571428
pjwtqxbj935,0.0,0.0,884.26,126.32285714285715
pjwtqxbj939,0.0,0.0,5822.92,831.8457142857143
pjwtqxbj941,0.0,0.0,1734.49,247.78428571428572
pjwtqxbj942,3.0,0.0,7227.76,903.47
pjwtqxbj943,6.0,0.0,3165.42,452.20285714285717
pjwtqxbj944,0.0,0.0,4828.81,689.83
pjwtqxbj946,1.0,0.0,5089.22,727.0314285714286
pjwtqxbj947,0.0,0.0,2569.12,367.01714285714286
pjwtqxbj950,0.0,0.0,7825.92,1117.9885714285715
pjwtqxbj952,0.0,0.0,3708.44,529.7771428571428
pjwtqxbj953,0.0,0.0,2646.46,378.0657142857143
pjwtqxbj954,0.0,0.0,2058.52,294.07428571428574
pjwtqxbj957,86.0,4.0,970.86,161.81
pjwtqxbj959,0.0,0.0,6103.62,871.9457142857143
pjwtqxbj960,0.0,0.0,3432.48,490.3542857142857
pjwtqxbj965,1.0,0.0,3044.96,434.9942857142857
pjwtqxbj967,0.0,0.0,1999.78,285.68285714285713
pjwtqxbj968,0.0,0.0,1546.31,220.90142857142857
pjwtqxbj969,1.0,0.0,9391.05,1043.4499999999998
pjwtqxbj971,0.0,0.0,966.59,193.318
pjwtqxbj972,0.0,0.0,3049.95,381.24375
pjwtqxbj974,0.0,0.0,1408.8300000000002,201.26142857142858
pjwtqxbj976,0.0,0.0,3038.88,434.1257142857143
pjwtqxbj977,0.0,0.0,4079.21,582.7442857142858
pjwtqxbj979,0.0,0.0,2131.23,304.4614285714286
pjwtqxbj982,3.0,0.0,1922.86,274.6942857142857
pjwtqxbj983,0.0,0.0,1512.1,216.0142857142857
pjwtqxbj984,4.0,0.0,9308.73,1163.59125
pjwtqxbj985,0.0,0.0,2527.96,361.13714285714286
pjwtqxbj987,3.0,0.0,1776.0900000000001,296.01500000000004
pjwtqxbj988,329.0,12.0,3058.08,436.86857142857144
pjwtqxbj993,0.0,0.0,7219.049999999999,902.3812499999999
pjwtqxbj998,0.0,0.0,6365.96,909.4228571428572
pjwtzxbj996,0.0,0.0,4607.33,767.8883333333333
pjwuzxbj992,0.0,0.0,2042.16,291.7371428571429
pjwuzxbj995,0.0,0.0,1644.08,274.0133333333333
pjxpqxbj911,0.0,0.0,2462.58,351.79714285714283
pjxpqxbj912,0.0,0.0,2138.16,305.45142857142855
pjxpqxbj914,12.0,1.0,1788.33,255.47571428571428
pjxpqxbj915,0.0,0.0,907.0600000000001,129.58
pjxpqxbj916,0.0,0.0,1885.76,269.39428571428573
pjxpqxbj918,0.0,0.0,562.32,80.33142857142857
pjxpqxbj919,0.0,0.0,1342.8899999999999,191.84142857142857
pjxpqxbj920,0.0,0.0,1583.22,226.17428571428573
pjxpqxbj924,0.0,0.0,1236.41,176.63000000000002
pjxpqxbj925,0.0,0.0,1336.56,190.93714285714285
pjxpqxbj926,110.0,0.0,1533.0,219.0
pjxpqxbj927,0.0,0.0,7691.38,1098.7685714285715
pjxpqxbj930,0.0,0.0,1824.74,260.6771428571429
pjxpqxbj932,0.0,0.0,1680.24,240.03428571428572
pjxpqxbj933,0.0,0.0,6985.700000000001,997.9571428571429
pjxpqxbj934,0.0,0.0,964.61,137.80142857142857
pjxpqxbj937,1.0,0.0,2982.59,426.0842857142857
pjxpqxbj941,7.0,0.0,666.25,83.28125
pjxpqxbj944,15.0,0.0,2362.79,337.5414285714286
pjxpqxbj945,2.0,0.0,7495.1,1070.7285714285715
pjxpqxbj946,0.0,0.0,1507.61,215.37285714285713
pjxpqxbj954,0.0,0.0,1886.22,269.46
pjxpqxbj955,2.0,0.0,1249.98,416.66
pjxpqxbj956,0.0,0.0,392.03,196.015
pjxpqxbj957,4.0,0.0,106.28,17.713333333333335
pjxpqxbj961,1.0,0.0,6474.23,924.89
pjxpqxbj962,0.0,0.0,1978.8400000000001,282.6914285714286
pjxpqxbj963,0.0,0.0,1741.99,248.8557142857143
pjxpqxbj967,16.0,0.0,1674.36,239.1942857142857
pjxpqxbj969,0.0,0.0,2045.3,292.18571428571425
pjxpqxbj971,0.0,0.0,1135.8600000000001,162.2657142857143
pjxpqxbj972,0.0,0.0,6689.09,955.5842857142858
pjxpqxbj973,14.0,0.0,1799.58,257.0828571428571
pjxpqxbj975,0.0,0.0,1955.48,279.3542857142857
pjxpqxbj976,0.0,0.0,1767.98,252.56857142857143
pjxpqxbj977,1.0,0.0,2986.09,426.5842857142857
pjxpqxbj978,0.0,0.0,1597.96,228.28
pjxpqxbj979,2.0,0.0,5459.389999999999,779.9128571428571
pjxpqxbj981,1.0,0.0,1670.47,238.63857142857142
pjxpqxbj985,0.0,0.0,704.66,100.66571428571429
pjxpqxbj986,0.0,0.0,2406.0699999999997,343.72428571428566
pjxpqxbj987,0.0,0.0,1752.41,250.34428571428572
pjxpqxbj992,22.0,2.0,1058.54,151.22
pjxpqxbj994,0.0,0.0,1146.71,191.11833333333334
pjxpqxbj997,7.0,0.0,172.92000000000002,28.820000000000004
pjxpqxbj998,1.0,0.0,1688.7399999999998,241.2485714285714
pjxqqxbj947,13.0,0.0,2779.97,397.1385714285714
pjxqqxbj949,6.0,0.0,2740.2,391.45714285714286
pjxqqxbj951,0.0,0.0,692.52,98.93142857142857
pjxqqxbj954,7.0,3.0,2201.16,275.145
pjxqqxbj957,0.0,0.0,1752.1100000000001,250.3014285714286
pjxqqxbj959,4.0,0.0,1669.93,238.5614285714286
pjxqqxbj961,1.0,0.0,5037.66,719.6657142857142
pjxqqxbj964,0.0,0.0,3605.42,450.6775
pjxqqxbj967,3.0,0.0,2814.46,402.0657142857143
pjxqqxbj969,0.0,0.0,1964.88,280.69714285714286
pjxqqxbj970,5.0,0.0,1499.46,187.4325
pjxqqxbj973,0.0,0.0,3781.45,540.2071428571428
pjxqqxbj974,1.0,0.0,2389.44,341.34857142857146
pjxqqxbj975,12.0,0.0,2480.98,354.42571428571426
pjxqqxbj977,1.0,0.0,4430.73,632.9614285714285
pjxqqxbj979,0.0,0.0,1888.25,269.75
pjxqqxbj981,0.0,0.0,3028.21,378.52625
pjxqqxbj982,0.0,0.0,1922.3600000000001,274.6228571428572
pjxqqxbj983,6.0,0.0,2727.2200000000003,389.6028571428572
pjxqqxbj985,0.0,0.0,6769.39,846.17375
pjxqqxbj986,0.0,0.0,2148.54,306.9342857142857
pjxqqxbj988,0.0,0.0,2525.39,360.77
pjxqqxbj989,0.0,0.0,1893.32,270.4742857142857
pjxqqxbj991,9.0,0.0,3269.82,467.1171428571429
pjxqqxbj996,0.0,0.0,2192.2,313.1714285714285
pjxqqxbj997,0.0,0.0,6350.95,907.2785714285714
pjxqqxbj998,0.0,0.0,1545.22,220.74571428571429
pjxqzxbj967,2.0,0.0,903.74,301.24666666666667
pjxqzxbj971,0.0,0.0,1643.24,328.648
pjxqzxbj973,0.0,0.0,708.6,101.22857142857143
pjxqzxbj975,0.0,0.0,3609.2000000000003,515.6
pjxqzxbj979,0.0,0.0,3107.46,443.92285714285714
pjxqzxbj980,0.0,0.0,1407.18,201.0257142857143
pjxqzxbj982,0.0,0.0,33.78,6.756
pjxqzxbj983,34.0,0.0,1412.01,201.71571428571428
pjxqzxbj984,17.0,0.0,2005.1200000000001,286.4457142857143
pjxqzxbj985,0.0,0.0,11908.46,1701.2085714285713
pjxqzxbj989,0.0,0.0,3342.83,477.54714285714283
pjxqzxbj994,3.0,0.0,2129.27,304.18142857142857
pjxqzxbj995,1.0,0.0,4875.030000000001,696.4328571428572
pjxqzxbj996,0.0,0.0,440.43,62.91857142857143
pjxqzxbj997,0.0,0.0,3610.3999999999996,515.7714285714285
pjxrqxbj891,12.0,2.0,1210.38,172.9114285714286
pjxrqxbj892,0.0,0.0,1649.88,235.69714285714286
pjxrqxbj894,0.0,0.0,2967.98,423.9971428571429
pjxrqxbj898,0.0,0.0,4895.58,699.3685714285714
pjxrqxbj901,0.0,0.0,2579.54,368.5057142857143
pjxrqxbj903,0.0,0.0,2405.13,343.59000000000003
pjxrqxbj905,0.0,0.0,3045.9,435.12857142857143
pjxrqxbj909,0.0,0.0,3929.07,561.2957142857143
pjxrqxbj911,0.0,0.0,2878.3900000000003,411.1985714285715
pjxrqxbj914,0.0,0.0,3159.8900000000003,451.4128571428572
pjxrqxbj916,0.0,0.0,1915.73,273.67571428571426
